"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043604","GO:0043604","80/291","116/986",0.689655172413793,2.33676975945017,9.9128420922675,5.59520325261887e-21,6.30019886244884e-18,5.71299700530558e-18,"FGLBJAKE_00228/FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_00475/FGLBJAKE_00476/FGLBJAKE_00477/FGLBJAKE_00790/FGLBJAKE_00848/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_02435/FGLBJAKE_02881/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01171/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_02882/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00492/FGLBJAKE_00456/FGLBJAKE_01201/FGLBJAKE_00791/FGLBJAKE_01785/FGLBJAKE_01163/FGLBJAKE_00756/FGLBJAKE_01810/FGLBJAKE_01962/FGLBJAKE_00618/FGLBJAKE_00155/FGLBJAKE_01786/FGLBJAKE_02311/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_00242/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_00056/FGLBJAKE_00792/FGLBJAKE_01980/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_00116/FGLBJAKE_02977/FGLBJAKE_01897/FGLBJAKE_02129/FGLBJAKE_00243/FGLBJAKE_01740/FGLBJAKE_02426/FGLBJAKE_01731/FGLBJAKE_02571/FGLBJAKE_01898",80
"GO:0006412","GO:0006412","72/291","102/986",0.705882352941177,2.39175257731959,9.60081707323937,1.05230924977486e-19,5.92450107623244e-17,5.37231564358743e-17,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_00790/FGLBJAKE_00848/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_02435/FGLBJAKE_02881/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01171/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_02882/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00492/FGLBJAKE_00456/FGLBJAKE_00791/FGLBJAKE_01785/FGLBJAKE_01163/FGLBJAKE_00756/FGLBJAKE_01810/FGLBJAKE_01962/FGLBJAKE_00155/FGLBJAKE_01786/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_00242/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_00056/FGLBJAKE_00792/FGLBJAKE_01980/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_00116/FGLBJAKE_02977/FGLBJAKE_01897/FGLBJAKE_02129/FGLBJAKE_00243/FGLBJAKE_01740/FGLBJAKE_01731/FGLBJAKE_02571/FGLBJAKE_01898",72
"GO:0043043","GO:0043043","72/291","103/986",0.699029126213592,2.36853167851066,9.4921659615226,2.64441519825776e-19,9.92537171079413e-17,9.00029032389484e-17,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_00790/FGLBJAKE_00848/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_02435/FGLBJAKE_02881/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01171/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_02882/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00492/FGLBJAKE_00456/FGLBJAKE_00791/FGLBJAKE_01785/FGLBJAKE_01163/FGLBJAKE_00756/FGLBJAKE_01810/FGLBJAKE_01962/FGLBJAKE_00155/FGLBJAKE_01786/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_00242/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_00056/FGLBJAKE_00792/FGLBJAKE_01980/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_00116/FGLBJAKE_02977/FGLBJAKE_01897/FGLBJAKE_02129/FGLBJAKE_00243/FGLBJAKE_01740/FGLBJAKE_01731/FGLBJAKE_02571/FGLBJAKE_01898",72
"GO:0006518","GO:0006518","72/291","106/986",0.679245283018868,2.30149776308111,9.17333449870983,3.68119295455791e-18,8.49438098314731e-16,7.70267322955304e-16,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_00790/FGLBJAKE_00848/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_02435/FGLBJAKE_02881/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01171/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_02882/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00492/FGLBJAKE_00456/FGLBJAKE_00791/FGLBJAKE_01785/FGLBJAKE_01163/FGLBJAKE_00756/FGLBJAKE_01810/FGLBJAKE_01962/FGLBJAKE_00155/FGLBJAKE_01786/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_00242/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_00056/FGLBJAKE_00792/FGLBJAKE_01980/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_00116/FGLBJAKE_02977/FGLBJAKE_01897/FGLBJAKE_02129/FGLBJAKE_00243/FGLBJAKE_01740/FGLBJAKE_01731/FGLBJAKE_02571/FGLBJAKE_01898",72
"GO:0043603","GO:0043603","80/291","124/986",0.645161290322581,2.18601042013081,9.13519709442891,3.87792872245553e-18,8.49438098314731e-16,7.70267322955304e-16,"FGLBJAKE_00228/FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_00475/FGLBJAKE_00476/FGLBJAKE_00477/FGLBJAKE_00790/FGLBJAKE_00848/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_02435/FGLBJAKE_02881/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01171/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_02882/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00492/FGLBJAKE_00456/FGLBJAKE_01201/FGLBJAKE_00791/FGLBJAKE_01785/FGLBJAKE_01163/FGLBJAKE_00756/FGLBJAKE_01810/FGLBJAKE_01962/FGLBJAKE_00618/FGLBJAKE_00155/FGLBJAKE_01786/FGLBJAKE_02311/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_00242/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_00056/FGLBJAKE_00792/FGLBJAKE_01980/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_00116/FGLBJAKE_02977/FGLBJAKE_01897/FGLBJAKE_02129/FGLBJAKE_00243/FGLBJAKE_01740/FGLBJAKE_02426/FGLBJAKE_01731/FGLBJAKE_02571/FGLBJAKE_01898",80
"GO:0003735","GO:0003735","48/291","58/986",0.827586206896552,2.80412371134021,9.15964264792368,5.28069865737399e-18,8.49438098314731e-16,7.70267322955304e-16,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00756/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_02977/FGLBJAKE_01740/FGLBJAKE_01731/FGLBJAKE_01898",48
"GO:0005198","GO:0005198","48/291","58/986",0.827586206896552,2.80412371134021,9.15964264792368,5.28069865737399e-18,8.49438098314731e-16,7.70267322955304e-16,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00756/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_02977/FGLBJAKE_01740/FGLBJAKE_01731/FGLBJAKE_01898",48
"GO:0044267","GO:0044267","82/291","131/986",0.625954198473282,2.12093072060019,8.91053067572936,2.16016380500406e-17,3.04043055554321e-15,2.75705117217623e-15,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_00790/FGLBJAKE_00848/FGLBJAKE_01110/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02246/FGLBJAKE_02398/FGLBJAKE_02435/FGLBJAKE_02881/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01171/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_02882/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00492/FGLBJAKE_00456/FGLBJAKE_00791/FGLBJAKE_01785/FGLBJAKE_01163/FGLBJAKE_00756/FGLBJAKE_01810/FGLBJAKE_01962/FGLBJAKE_00155/FGLBJAKE_01786/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_00242/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_00056/FGLBJAKE_00792/FGLBJAKE_01980/FGLBJAKE_00649/FGLBJAKE_01788/FGLBJAKE_01022/FGLBJAKE_01202/FGLBJAKE_00805/FGLBJAKE_02972/FGLBJAKE_02572/FGLBJAKE_00433/FGLBJAKE_00116/FGLBJAKE_02977/FGLBJAKE_01897/FGLBJAKE_01115/FGLBJAKE_02129/FGLBJAKE_00243/FGLBJAKE_01740/FGLBJAKE_02887/FGLBJAKE_01731/FGLBJAKE_02571/FGLBJAKE_01184/FGLBJAKE_01898",82
"GO:0022626","GO:0022626","34/291","36/986",0.944444444444444,3.20007636502482,8.69759959923448,7.83758521636576e-17,9.80568994847539e-15,8.8917633448828e-15,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_01738/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_02977/FGLBJAKE_01740/FGLBJAKE_01898",34
"GO:0005840","GO:0005840","49/291","62/986",0.790322580645161,2.67786276466024,8.82649953818798,9.06486404305205e-17,1.02070369124766e-14,9.25570328606367e-15,"FGLBJAKE_00285/FGLBJAKE_00286/FGLBJAKE_00287/FGLBJAKE_00288/FGLBJAKE_01172/FGLBJAKE_01669/FGLBJAKE_01670/FGLBJAKE_01783/FGLBJAKE_01787/FGLBJAKE_01792/FGLBJAKE_01793/FGLBJAKE_01797/FGLBJAKE_01798/FGLBJAKE_01799/FGLBJAKE_01800/FGLBJAKE_01801/FGLBJAKE_01803/FGLBJAKE_01804/FGLBJAKE_01805/FGLBJAKE_01806/FGLBJAKE_01812/FGLBJAKE_01813/FGLBJAKE_01815/FGLBJAKE_02398/FGLBJAKE_01807/FGLBJAKE_01964/FGLBJAKE_01963/FGLBJAKE_01802/FGLBJAKE_01784/FGLBJAKE_01791/FGLBJAKE_01869/FGLBJAKE_01789/FGLBJAKE_01795/FGLBJAKE_01811/FGLBJAKE_01790/FGLBJAKE_01794/FGLBJAKE_00756/FGLBJAKE_02356/FGLBJAKE_01738/FGLBJAKE_01796/FGLBJAKE_02400/FGLBJAKE_01788/FGLBJAKE_01202/FGLBJAKE_02972/FGLBJAKE_02977/FGLBJAKE_01160/FGLBJAKE_01740/FGLBJAKE_01731/FGLBJAKE_01898",49
