"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006189","GO:0006189","11/146","11/986",1,6.75342465753425,7.99604749568272,5.39354096881993e-10,3.55122067997575e-07,3.1760697451862e-07,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00715/FGLBJAKE_00718/FGLBJAKE_00717",11
"GO:0046040","GO:0046040","12/146","13/986",0.923076923076923,6.23393045310854,7.91585998236856,8.47546701664857e-10,3.55122067997575e-07,3.1760697451862e-07,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00715/FGLBJAKE_00718/FGLBJAKE_00717",12
"GO:0006188","GO:0006188","11/146","12/986",0.916666666666667,6.19063926940639,7.53853391010411,5.65077138425592e-09,1.57844880666882e-06,1.41170148266323e-06,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00715/FGLBJAKE_00718/FGLBJAKE_00717",11
"GO:0006553","GO:0006553","7/146","7/986",1,6.75342465753425,6.36559500830067,1.37780116531931e-06,0.000164942482362512,0.000147517959354489,"FGLBJAKE_02130/FGLBJAKE_02131/FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136/FGLBJAKE_02134",7
"GO:0009085","GO:0009085","7/146","7/986",1,6.75342465753425,6.36559500830067,1.37780116531931e-06,0.000164942482362512,0.000147517959354489,"FGLBJAKE_02130/FGLBJAKE_02131/FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136/FGLBJAKE_02134",7
"GO:0009089","GO:0009089","7/146","7/986",1,6.75342465753425,6.36559500830067,1.37780116531931e-06,0.000164942482362512,0.000147517959354489,"FGLBJAKE_02130/FGLBJAKE_02131/FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136/FGLBJAKE_02134",7
"GO:0046451","GO:0046451","7/146","7/986",1,6.75342465753425,6.36559500830067,1.37780116531931e-06,0.000164942482362512,0.000147517959354489,"FGLBJAKE_02130/FGLBJAKE_02131/FGLBJAKE_02132/FGLBJAKE_02135/FGLBJAKE_02133/FGLBJAKE_02136/FGLBJAKE_02134",7
"GO:0009156","GO:0009156","22/146","58/986",0.379310344827586,2.56164383561644,5.1083059450448,6.31253907878617e-06,0.000627019530851601,0.000560781190762894,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",22
"GO:0044205","GO:0044205","8/146","10/986",0.8,5.4027397260274,5.83113375725131,6.73409997334655e-06,0.000627019530851601,0.000560781190762894,"FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",8
"GO:0009161","GO:0009161","22/146","59/986",0.372881355932203,2.51822614348735,5.01161273854803,8.7980568746742e-06,0.000676203340552104,0.00060476922305376,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",22
