Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR1797969_1	(1, 32.10120930543145)	(2, 32.252504610336715)	(3, 32.334271619232915)	(4, 35.84410168371748)	(5, 35.907204192807846)	(6, 35.91994974200929)	(7, 35.89519511000499)	(8, 35.89910448893658)	(9, 37.57345884131343)	(10, 37.55392578768979)	(12, 37.56809956584647)	(14, 38.94126774929515)	(16, 38.98739347801211)	(18, 39.04046887101266)	(20, 39.07194837579511)	(22, 39.03438429064969)	(24, 39.015594623941794)	(26, 38.926175739959426)	(28, 38.9116090923335)	(30, 38.86146786366296)	(32, 38.84856782692832)	(34, 38.7752871262805)	(36, 38.77969748125562)	(38, 38.79532069329471)	(40, 38.754711272169175)	(42, 38.68143791613706)	(44, 38.50909874510012)	(46, 38.33943249369018)	(48, 38.10590174376984)	(50, 37.908789935817694)	(52, 37.717206637928726)	(54, 37.44997304660981)	(56, 37.18044163154874)	(58, 36.91139756354616)	(60, 36.5896798780817)	(62, 36.24594895287756)	(64, 35.96879523396514)	(66, 35.57628235447791)	(68, 35.09011415499059)	(70, 34.735993682936524)	(72, 34.36534159903965)	(74, 34.08375959735005)	(76, 33.80135249266618)	(78, 33.550556189818494)	(80, 33.34748184549797)	(82, 33.195378497926235)	(84, 33.068063517470236)	(86, 32.94201977239942)	(88, 32.84297238640404)	(90, 32.7222030392598)	(92, 32.56838430946425)	(94, 32.39914119273783)	(96, 32.27566453543012)	(98, 32.16516500440599)	(100, 31.999384710121706)
ERR1797969_1_paired	(1, 32.315614379200284)	(2, 32.45918572647813)	(3, 32.520087341436)	(4, 36.02619485854381)	(5, 36.06650228307321)	(6, 36.083488520421206)	(7, 36.072664358289494)	(8, 36.07876994447189)	(9, 37.788036410135526)	(10, 37.79214254197473)	(12, 37.79647985480652)	(14, 39.201299202346064)	(16, 39.240934626967544)	(18, 39.300455138052456)	(20, 39.36182324187537)	(22, 39.29826789174672)	(24, 39.29638130188747)	(26, 39.20314365259759)	(28, 39.2059843467827)	(30, 39.189374299140326)	(32, 39.185725985932415)	(34, 39.14123613907903)	(36, 39.157514339884116)	(38, 39.160407523659984)	(40, 39.13468493530242)	(42, 39.102987282377754)	(44, 39.03801592187746)	(46, 38.921077846403556)	(48, 38.8806572543881)	(50, 38.77439622106013)	(52, 38.67304942937781)	(54, 38.54016757399623)	(56, 38.35784759800551)	(58, 38.17246266957636)	(60, 37.878642166952766)	(62, 37.519164141495565)	(64, 37.18565617502576)	(66, 36.74100410774138)	(68, 36.182466962351455)	(70, 35.82160871758545)	(72, 35.356860893025164)	(74, 35.048649006872594)	(76, 34.76661394307342)	(78, 34.58248595823045)	(80, 34.446985680284726)	(82, 34.32256441305732)	(84, 34.23166311107843)	(86, 34.17819241141905)	(88, 34.10641055182282)	(90, 34.06453579641847)	(92, 34.021286107733445)	(94, 34.010773531583766)	(96, 34.060356403132275)	(98, 34.135202523895515)	(100, 34.114751598579105)
ERR1797969_2	(1, 31.189432790559167)	(2, 31.39202628423979)	(3, 31.511973766960473)	(4, 35.021958396087065)	(5, 34.97938133121294)	(6, 35.2367079805476)	(7, 35.31935834815622)	(8, 35.42291627276908)	(9, 37.14247737087279)	(10, 37.12232588518619)	(12, 37.1199298440767)	(14, 38.42380479777285)	(16, 38.46792797172019)	(18, 38.45225699076329)	(20, 38.43203874811045)	(22, 38.37738179525386)	(24, 38.470136888985806)	(26, 38.41322671984297)	(28, 38.3743882185733)	(30, 38.38885258134133)	(32, 38.33088463332132)	(34, 38.21846881302683)	(36, 38.19480868297816)	(38, 38.23807342364113)	(40, 38.172101367417085)	(42, 38.06649427574918)	(44, 37.93573925850919)	(46, 37.50002072299703)	(48, 37.45222207974224)	(50, 37.392873825902456)	(52, 37.21753556490388)	(54, 36.9359347486607)	(56, 36.57314319633357)	(58, 36.22597543436173)	(60, 35.78462691357119)	(62, 35.50823929012381)	(64, 35.22545909438459)	(66, 34.961003791903636)	(68, 34.60000295712348)	(70, 34.164604153358965)	(72, 33.898780458371874)	(74, 33.58040497786823)	(76, 33.205952816800846)	(78, 32.910693058756)	(80, 32.6950838458243)	(82, 32.53458203623437)	(84, 32.39565367619413)	(86, 32.20271231838173)	(88, 32.06433199004618)	(90, 31.917464177552635)	(92, 31.74389726050847)	(94, 31.570013137030713)	(96, 31.396470065891034)	(98, 31.182959099782213)	(100, 31.02694922630546)
ERR1797969_2_paired	(1, 31.617450204651593)	(2, 31.849338900355388)	(3, 31.975045477079803)	(4, 35.50553581173795)	(5, 35.45747469938709)	(6, 35.7514543086632)	(7, 35.84321657948602)	(8, 35.959695680095784)	(9, 37.73783810409475)	(10, 37.72757690137658)	(12, 37.73502921338717)	(14, 39.12685044179952)	(16, 39.16617434378635)	(18, 39.1675236063205)	(20, 39.165050015133154)	(22, 39.09306064779292)	(24, 39.18616192074225)	(26, 39.152501990935555)	(28, 39.12160029344008)	(30, 39.15857937046228)	(32, 39.12141049482955)	(34, 39.03471519948012)	(36, 39.02162072383456)	(38, 39.09156865438791)	(40, 39.05194261183341)	(42, 38.97925452180773)	(44, 38.9232568454393)	(46, 38.609203200425654)	(48, 38.58098092176156)	(50, 38.55666669512591)	(52, 38.46627117442315)	(54, 38.269764272085325)	(56, 37.99555664643441)	(58, 37.77466175275305)	(60, 37.447874678051704)	(62, 37.21153211010221)	(64, 36.96048439838537)	(66, 36.74167474038265)	(68, 36.42219826504825)	(70, 35.9397955328026)	(72, 35.784589928140434)	(74, 35.56884796762881)	(76, 35.22370911259978)	(78, 34.98336182296555)	(80, 34.82313382620146)	(82, 34.649306526236636)	(84, 34.50812135301045)	(86, 34.36043348549266)	(88, 34.28045658854126)	(90, 34.2333751902534)	(92, 34.25121497644152)	(94, 34.23557468226981)	(96, 34.18603408148539)	(98, 34.17492991994571)	(100, 34.160871972115984)
ERR1797970_1	(1, 32.13034179883294)	(2, 32.28171716405638)	(3, 32.36550965331275)	(4, 35.86235549691789)	(5, 35.923750994016004)	(6, 35.93818868695273)	(7, 35.91367232877206)	(8, 35.917213278476915)	(9, 37.600096116372896)	(10, 37.58105884199294)	(12, 37.590429512532296)	(14, 38.96820269516317)	(16, 39.011046455746296)	(18, 39.060531369605755)	(20, 39.09784124879198)	(22, 39.06255082716399)	(24, 39.045998104705276)	(26, 38.965172964416666)	(28, 38.94700036193822)	(30, 38.89781248897103)	(32, 38.88916383636488)	(34, 38.81735660826345)	(36, 38.81612128759896)	(38, 38.83797542875036)	(40, 38.805141831722764)	(42, 38.73396664386406)	(44, 38.56928980513156)	(46, 38.415850209391024)	(48, 38.2087043325206)	(50, 38.02384466993412)	(52, 37.85568582786609)	(54, 37.59645777374956)	(56, 37.344793026907325)	(58, 37.09101490254325)	(60, 36.7641066546321)	(62, 36.42469484928878)	(64, 36.138613476266386)	(66, 35.746482797797434)	(68, 35.26175871186038)	(70, 34.90577822723863)	(72, 34.519976868243226)	(74, 34.221717363047304)	(76, 33.9423692235374)	(78, 33.68326535102375)	(80, 33.46704674559723)	(82, 33.30744002676241)	(84, 33.18368452729142)	(86, 33.0552136374115)	(88, 32.95359968957415)	(90, 32.83135036370285)	(92, 32.708414387719934)	(94, 32.59998588290773)	(96, 32.468405271682684)	(98, 32.315369909117464)	(100, 32.1495016591338)
ERR1797970_1_paired	(1, 32.3481306506623)	(2, 32.49143011937659)	(3, 32.55802582848085)	(4, 36.04405847524733)	(5, 36.08491712328278)	(6, 36.104494902656455)	(7, 36.09177603244062)	(8, 36.096289555899254)	(9, 37.816720173402516)	(10, 37.81896868242465)	(12, 37.813695640428264)	(14, 39.226495616229315)	(16, 39.264878553160976)	(18, 39.31611513206959)	(20, 39.384987342031394)	(22, 39.32653735808543)	(24, 39.322123877648664)	(26, 39.24213496793975)	(28, 39.242517624077266)	(30, 39.22589023805119)	(32, 39.227063065638866)	(34, 39.17906798169233)	(36, 39.18505209470101)	(38, 39.188428272615944)	(40, 39.16395281516188)	(42, 39.12991264470148)	(44, 39.067372916039474)	(46, 38.95975354630226)	(48, 38.921053144309674)	(50, 38.81425686195593)	(52, 38.71583524146479)	(54, 38.57920014606883)	(56, 38.398469629858525)	(58, 38.20778754651759)	(60, 37.90986212788968)	(62, 37.557955622942906)	(64, 37.231546344721885)	(66, 36.80054649967166)	(68, 36.25776726292575)	(70, 35.895069792794665)	(72, 35.432863904220625)	(74, 35.115915341979786)	(76, 34.83282359408814)	(78, 34.64117735967443)	(80, 34.49875011296945)	(82, 34.372270444554374)	(84, 34.27555468335251)	(86, 34.21819681359369)	(88, 34.150615367806566)	(90, 34.10919010184964)	(92, 34.07961915470174)	(94, 34.08066720126554)	(96, 34.12055302633031)	(98, 34.18606895026312)	(100, 34.1695109208616)
ERR1797970_2	(1, 31.230720407233058)	(2, 31.422148253497923)	(3, 31.48714680048869)	(4, 35.0147967776986)	(5, 35.04854244776864)	(6, 35.22301345103584)	(7, 35.30914551042675)	(8, 35.42077217491077)	(9, 37.13418089702107)	(10, 37.117990544551816)	(12, 37.113890730702195)	(14, 38.43660791052767)	(16, 38.47101931788913)	(18, 38.45486831306003)	(20, 38.44611182989805)	(22, 38.39135012716646)	(24, 38.46621338660783)	(26, 38.41144849251231)	(28, 38.37519257065492)	(30, 38.385172810480285)	(32, 38.32908549025733)	(34, 38.22232760815157)	(36, 38.196681075361994)	(38, 38.23045473557109)	(40, 38.16935220568303)	(42, 38.0718809298358)	(44, 37.94471121535399)	(46, 37.536264594858224)	(48, 37.480382066336816)	(50, 37.419944654240126)	(52, 37.251605368700154)	(54, 36.98121343541693)	(56, 36.63190939680218)	(58, 36.30406268139149)	(60, 35.88081566006042)	(62, 35.60306669425006)	(64, 35.3211882912236)	(66, 35.04981326766382)	(68, 34.687394225057986)	(70, 34.23688298732691)	(72, 33.96276096909333)	(74, 33.62909831203129)	(76, 33.2428228289902)	(78, 32.943319273810765)	(80, 32.72972507713715)	(82, 32.563486441208696)	(84, 32.41682483316676)	(86, 32.2182137523006)	(88, 32.067913125817086)	(90, 31.908632282786385)	(92, 31.72698983419175)	(94, 31.546449945521537)	(96, 31.36519521010063)	(98, 31.14582115296095)	(100, 30.987737766000183)
ERR1797970_2_paired	(1, 31.670539330920356)	(2, 31.885040529887128)	(3, 31.943844605498363)	(4, 35.50615611535034)	(5, 35.54214236506015)	(6, 35.742313428522195)	(7, 35.83797436392512)	(8, 35.96328124673681)	(9, 37.736743625912126)	(10, 37.725670446563754)	(12, 37.733204090324634)	(14, 39.13941971948341)	(16, 39.171030788054715)	(18, 39.174943312322725)	(20, 39.184238353274345)	(22, 39.11211848408345)	(24, 39.18967890838444)	(26, 39.15604306336718)	(28, 39.12817309854594)	(30, 39.16237373189575)	(32, 39.12728722937689)	(34, 39.04713404026809)	(36, 39.033931855539976)	(38, 39.095945906536976)	(40, 39.0592570886358)	(42, 38.9944055901442)	(44, 38.94375047552784)	(46, 38.65091475841523)	(48, 38.616857863616886)	(50, 38.60411051733766)	(52, 38.51673327364611)	(54, 38.32582040133242)	(56, 38.06990826166569)	(58, 37.865186144213)	(60, 37.5537529894099)	(62, 37.316944392743125)	(64, 37.06246833634744)	(66, 36.831501932378444)	(68, 36.515836182589524)	(70, 36.02297936902741)	(72, 35.855196649276095)	(74, 35.630692809149394)	(76, 35.27763147227066)	(78, 35.03010494735845)	(80, 34.86484665297231)	(82, 34.682675236646745)	(84, 34.53238412328787)	(86, 34.38596598342433)	(88, 34.30483488962899)	(90, 34.25370518615121)	(92, 34.26496007938986)	(94, 34.246569553546095)	(96, 34.19939244252414)	(98, 34.18770483849186)	(100, 34.174861265210104)
ERR1797971_1	(1, 32.113074159128985)	(2, 32.26525382552419)	(3, 32.348647563539004)	(4, 35.84735075081634)	(5, 35.91488385477306)	(6, 35.92867915760506)	(7, 35.90353052731811)	(8, 35.907930733550614)	(9, 37.589061890214694)	(10, 37.563622763301844)	(12, 37.57754186358629)	(14, 38.95584098148417)	(16, 38.99516411221236)	(18, 39.047744852653686)	(20, 39.07797754514143)	(22, 39.04139664750849)	(24, 39.02421044263022)	(26, 38.94373548852455)	(28, 38.92261956568391)	(30, 38.87067025382281)	(32, 38.86802264356095)	(34, 38.79200825509519)	(36, 38.789796905896736)	(38, 38.81542181953642)	(40, 38.784962973949476)	(42, 38.70636734702748)	(44, 38.51315472888702)	(46, 38.3535375085817)	(48, 38.127430353519955)	(50, 37.93504570780867)	(52, 37.75699729967259)	(54, 37.47996761273201)	(56, 37.22081014168434)	(58, 36.95373175250723)	(60, 36.627110627946095)	(62, 36.28582367048581)	(64, 36.0060688459437)	(66, 35.612145225494814)	(68, 35.12598410010426)	(70, 34.770531208059225)	(72, 34.3956931670362)	(74, 34.09721493762227)	(76, 33.82100507377593)	(78, 33.55698503945093)	(80, 33.321974971400365)	(82, 33.138371234079145)	(84, 33.00976552914628)	(86, 32.8796341057273)	(88, 32.7765417590937)	(90, 32.650928363180725)	(92, 32.520459050225796)	(94, 32.40101113325919)	(96, 32.24586485541359)	(98, 32.044010030563626)	(100, 31.83422709805986)
ERR1797971_1_paired	(1, 32.34019272626946)	(2, 32.48356305905019)	(3, 32.54806864181581)	(4, 36.03404106119564)	(5, 36.08090734902834)	(6, 36.10154403483126)	(7, 36.09022990993165)	(8, 36.09721338938915)	(9, 37.815913310397654)	(10, 37.81706508755113)	(12, 37.81419542520416)	(14, 39.22790515071613)	(16, 39.264590305123136)	(18, 39.32046007926782)	(20, 39.386908376213796)	(22, 39.322878497608045)	(24, 39.318903934193585)	(26, 39.23762707472499)	(28, 39.2358259404224)	(30, 39.217758275602904)	(32, 39.22498868277353)	(34, 39.17804630060273)	(36, 39.18548588881315)	(38, 39.18913007956968)	(40, 39.16597084455646)	(42, 39.12860489662089)	(44, 39.059780769195044)	(46, 38.95328577998355)	(48, 38.9136039727151)	(50, 38.805289753403464)	(52, 38.705032634962265)	(54, 38.56941829886169)	(56, 38.38876665685837)	(58, 38.20019552497037)	(60, 37.90227184400263)	(62, 37.54412211612009)	(64, 37.21645860262775)	(66, 36.77992838759067)	(68, 36.229249057469325)	(70, 35.86433676487627)	(72, 35.39812765487203)	(74, 35.08519233793288)	(76, 34.80443976396245)	(78, 34.61906226840407)	(80, 34.47919236920425)	(82, 34.35421953553773)	(84, 34.258782721034585)	(86, 34.2064743658382)	(88, 34.1392532263871)	(90, 34.0992714796024)	(92, 34.0689314348904)	(94, 34.07026518015665)	(96, 34.110233034863455)	(98, 34.17453575725445)	(100, 34.155920518333936)
