Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR1797969_1	(0.0, 45.0)	(1.0, 31.5)	(2.0, 14.5)	(3.0, 10.0)	(4.0, 7.5)	(5.0, 7.5)	(6.0, 10.0)	(7.0, 13.0)	(8.0, 16.0)	(9.0, 16.0)	(10.0, 21.5)	(11.0, 21.5)	(12.0, 28.5)	(13.0, 34.5)	(14.0, 36.5)	(15.0, 54.5)	(16.0, 90.0)	(17.0, 160.0)	(18.0, 337.5)	(19.0, 1514.5)	(20.0, 2695.5)	(21.0, 2390.0)	(22.0, 2481.0)	(23.0, 4065.5)	(24.0, 7937.0)	(25.0, 12698.0)	(26.0, 17387.5)	(27.0, 26590.0)	(28.0, 43489.5)	(29.0, 62222.0)	(30.0, 82958.0)	(31.0, 113396.5)	(32.0, 158784.0)	(33.0, 219211.5)	(34.0, 286159.0)	(35.0, 378913.5)	(36.0, 474908.0)	(37.0, 572817.5)	(38.0, 716472.0)	(39.0, 884000.5)	(40.0, 1048882.0)	(41.0, 1182744.5)	(42.0, 1341625.5)	(43.0, 1478359.5)	(44.0, 1502825.5)	(45.0, 1469975.0)	(46.0, 1447624.0)	(47.0, 1430577.5)	(48.0, 1508248.0)	(49.0, 1653901.0)	(50.0, 1580918.0)	(51.0, 1925262.0)	(52.0, 1988314.0)	(53.0, 1235576.5)	(54.0, 606349.0)	(55.0, 228695.0)	(56.0, 93550.0)	(57.0, 51955.5)	(58.0, 38986.0)	(59.0, 26394.0)	(60.0, 14568.5)	(61.0, 5639.5)	(62.0, 2243.5)	(63.0, 1053.5)	(64.0, 466.0)	(65.0, 240.0)	(66.0, 133.5)	(67.0, 79.0)	(68.0, 54.5)	(69.0, 35.0)	(70.0, 21.0)	(71.0, 13.0)	(72.0, 6.5)	(73.0, 5.0)	(74.0, 3.5)	(75.0, 2.0)	(76.0, 1.5)	(77.0, 1.5)	(78.0, 2.0)	(79.0, 3.0)	(80.0, 2.5)	(81.0, 1.0)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 0.5)	(85.0, 0.5)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 0.5)
ERR1797969_1_paired	(0.0, 49.0)	(1.0, 28.5)	(2.0, 8.0)	(3.0, 5.0)	(4.0, 2.0)	(5.0, 6.5)	(6.0, 10.5)	(7.0, 9.0)	(8.0, 10.0)	(9.0, 17.0)	(10.0, 27.0)	(11.0, 26.0)	(12.0, 23.5)	(13.0, 36.5)	(14.0, 43.5)	(15.0, 50.5)	(16.0, 92.5)	(17.0, 174.5)	(18.0, 367.0)	(19.0, 1539.0)	(20.0, 2690.0)	(21.0, 2358.5)	(22.0, 2331.0)	(23.0, 3742.0)	(24.0, 7418.5)	(25.0, 11888.0)	(26.0, 16308.0)	(27.0, 24858.5)	(28.0, 40697.5)	(29.0, 58194.5)	(30.0, 76448.0)	(31.0, 102000.0)	(32.0, 138480.0)	(33.0, 189134.0)	(34.0, 243700.0)	(35.0, 315266.0)	(36.0, 384365.0)	(37.0, 448367.5)	(38.0, 549392.0)	(39.0, 657181.0)	(40.0, 735873.5)	(41.0, 765679.0)	(42.0, 820713.0)	(43.0, 870948.5)	(44.0, 821100.5)	(45.0, 737124.5)	(46.0, 716490.0)	(47.0, 721180.5)	(48.0, 764803.0)	(49.0, 806798.0)	(50.0, 625365.0)	(51.0, 724043.0)	(52.0, 610419.5)	(53.0, 177383.5)	(54.0, 87637.5)	(55.0, 39892.5)	(56.0, 20745.5)	(57.0, 16892.0)	(58.0, 15401.0)	(59.0, 11648.0)	(60.0, 7728.5)	(61.0, 3070.5)	(62.0, 1428.5)	(63.0, 931.0)	(64.0, 579.5)	(65.0, 408.5)	(66.0, 234.5)	(67.0, 133.5)	(68.0, 96.5)	(69.0, 68.5)	(70.0, 45.0)	(71.0, 22.5)	(72.0, 10.5)	(73.0, 6.5)	(74.0, 6.0)	(75.0, 5.0)	(76.0, 6.5)	(77.0, 8.5)	(78.0, 6.5)	(79.0, 4.0)	(80.0, 2.5)	(81.0, 1.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.5)	(85.0, 1.0)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
ERR1797969_2	(0.0, 13.0)	(1.0, 13.5)	(2.0, 16.0)	(3.0, 18.0)	(4.0, 21.5)	(5.0, 28.5)	(6.0, 38.5)	(7.0, 43.5)	(8.0, 46.5)	(9.0, 50.0)	(10.0, 65.0)	(11.0, 81.0)	(12.0, 96.5)	(13.0, 125.5)	(14.0, 153.0)	(15.0, 204.5)	(16.0, 304.0)	(17.0, 494.0)	(18.0, 777.5)	(19.0, 1719.5)	(20.0, 3381.5)	(21.0, 4776.0)	(22.0, 6706.5)	(23.0, 8640.5)	(24.0, 11630.5)	(25.0, 17855.5)	(26.0, 25714.5)	(27.0, 35204.5)	(28.0, 50193.0)	(29.0, 69782.5)	(30.0, 97986.0)	(31.0, 137908.5)	(32.0, 190936.0)	(33.0, 259433.0)	(34.0, 331765.5)	(35.0, 413956.5)	(36.0, 506357.5)	(37.0, 606614.5)	(38.0, 727085.5)	(39.0, 886917.0)	(40.0, 1135489.0)	(41.0, 1422188.5)	(42.0, 1514570.0)	(43.0, 1420316.0)	(44.0, 1338771.0)	(45.0, 1338631.0)	(46.0, 1342400.5)	(47.0, 1448516.0)	(48.0, 1767344.0)	(49.0, 1852919.0)	(50.0, 1646908.5)	(51.0, 1585851.5)	(52.0, 1521359.0)	(53.0, 1065066.0)	(54.0, 526055.0)	(55.0, 264366.5)	(56.0, 137218.5)	(57.0, 68183.0)	(58.0, 49964.0)	(59.0, 40795.5)	(60.0, 25535.5)	(61.0, 12118.0)	(62.0, 5713.0)	(63.0, 2775.5)	(64.0, 1707.5)	(65.0, 1217.0)	(66.0, 823.5)	(67.0, 575.0)	(68.0, 420.5)	(69.0, 324.0)	(70.0, 252.0)	(71.0, 199.5)	(72.0, 173.5)	(73.0, 137.5)	(74.0, 117.0)	(75.0, 105.5)	(76.0, 91.5)	(77.0, 83.0)	(78.0, 72.0)	(79.0, 62.5)	(80.0, 54.0)	(81.0, 51.0)	(82.0, 50.0)	(83.0, 43.5)	(84.0, 36.0)	(85.0, 24.5)	(86.0, 22.0)	(87.0, 30.5)	(88.0, 30.5)	(89.0, 26.5)	(90.0, 31.5)	(91.0, 29.5)	(92.0, 21.5)	(93.0, 19.0)	(94.0, 21.0)	(95.0, 25.0)	(96.0, 22.5)	(97.0, 23.5)	(98.0, 35.0)	(99.0, 47.5)	(100.0, 93.0)
ERR1797969_2_paired	(0.0, 10.0)	(1.0, 11.0)	(2.0, 10.5)	(3.0, 8.5)	(4.0, 8.5)	(5.0, 12.5)	(6.0, 14.0)	(7.0, 12.5)	(8.0, 17.5)	(9.0, 24.5)	(10.0, 29.0)	(11.0, 36.5)	(12.0, 50.5)	(13.0, 65.5)	(14.0, 83.0)	(15.0, 129.0)	(16.0, 216.5)	(17.0, 422.5)	(18.0, 748.5)	(19.0, 1676.0)	(20.0, 3307.5)	(21.0, 4700.5)	(22.0, 6554.0)	(23.0, 8393.0)	(24.0, 11262.5)	(25.0, 17172.0)	(26.0, 24783.5)	(27.0, 33898.0)	(28.0, 48108.5)	(29.0, 66423.0)	(30.0, 92444.0)	(31.0, 128156.0)	(32.0, 174506.5)	(33.0, 232739.5)	(34.0, 292642.0)	(35.0, 358267.5)	(36.0, 426153.0)	(37.0, 493114.5)	(38.0, 570657.5)	(39.0, 673288.0)	(40.0, 837124.0)	(41.0, 1010705.5)	(42.0, 989122.0)	(43.0, 810090.0)	(44.0, 670306.0)	(45.0, 629991.5)	(46.0, 614659.0)	(47.0, 715214.0)	(48.0, 1010777.5)	(49.0, 1049002.5)	(50.0, 681674.0)	(51.0, 313795.0)	(52.0, 159317.5)	(53.0, 111476.0)	(54.0, 72268.5)	(55.0, 43683.0)	(56.0, 24805.5)	(57.0, 16899.5)	(58.0, 16314.0)	(59.0, 14085.0)	(60.0, 7998.5)	(61.0, 3656.5)	(62.0, 1864.0)	(63.0, 1137.0)	(64.0, 843.0)	(65.0, 708.0)	(66.0, 535.0)	(67.0, 346.5)	(68.0, 184.5)	(69.0, 78.5)	(70.0, 43.0)	(71.0, 34.5)	(72.0, 26.0)	(73.0, 16.0)	(74.0, 8.5)	(75.0, 4.5)	(76.0, 1.5)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 1.0)	(85.0, 0.5)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 1.0)	(97.0, 3.0)	(98.0, 6.0)	(99.0, 36.5)	(100.0, 92.0)
ERR1797970_1	(0.0, 73.0)	(1.0, 51.5)	(2.0, 21.0)	(3.0, 11.5)	(4.0, 12.0)	(5.0, 12.5)	(6.0, 15.0)	(7.0, 19.5)	(8.0, 21.5)	(9.0, 18.0)	(10.0, 14.5)	(11.0, 20.0)	(12.0, 29.0)	(13.0, 37.0)	(14.0, 43.0)	(15.0, 61.5)	(16.0, 102.0)	(17.0, 196.5)	(18.0, 454.5)	(19.0, 1871.0)	(20.0, 3232.0)	(21.0, 2851.5)	(22.0, 3066.5)	(23.0, 4954.0)	(24.0, 9417.5)	(25.0, 15104.5)	(26.0, 20764.0)	(27.0, 31401.5)	(28.0, 51657.0)	(29.0, 74806.5)	(30.0, 97805.5)	(31.0, 132154.0)	(32.0, 186158.0)	(33.0, 255552.5)	(34.0, 327625.5)	(35.0, 431633.5)	(36.0, 538437.5)	(37.0, 640800.5)	(38.0, 794162.0)	(39.0, 965575.0)	(40.0, 1123198.0)	(41.0, 1254528.0)	(42.0, 1417773.0)	(43.0, 1572635.0)	(44.0, 1588879.0)	(45.0, 1524865.0)	(46.0, 1497395.0)	(47.0, 1461707.0)	(48.0, 1492746.0)	(49.0, 1614989.5)	(50.0, 1459536.5)	(51.0, 1672190.5)	(52.0, 1751091.0)	(53.0, 1256222.5)	(54.0, 773970.0)	(55.0, 298517.0)	(56.0, 109364.0)	(57.0, 63301.5)	(58.0, 48805.5)	(59.0, 33158.0)	(60.0, 18004.0)	(61.0, 6339.0)	(62.0, 2545.0)	(63.0, 1159.5)	(64.0, 539.5)	(65.0, 286.0)	(66.0, 169.0)	(67.0, 93.0)	(68.0, 54.0)	(69.0, 31.5)	(70.0, 21.0)	(71.0, 12.5)	(72.0, 7.0)	(73.0, 5.0)	(74.0, 3.0)	(75.0, 4.0)	(76.0, 4.0)	(77.0, 3.5)	(78.0, 2.0)	(79.0, 1.0)	(80.0, 0.5)	(81.0, 1.0)	(82.0, 1.0)	(83.0, 1.5)	(84.0, 2.5)	(85.0, 1.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.5)	(91.0, 1.0)	(92.0, 0.5)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 1.0)	(100.0, 2.5)
ERR1797970_1_paired	(0.0, 72.0)	(1.0, 43.5)	(2.0, 11.0)	(3.0, 6.5)	(4.0, 6.0)	(5.0, 6.5)	(6.0, 6.5)	(7.0, 6.5)	(8.0, 7.5)	(9.0, 8.5)	(10.0, 12.0)	(11.0, 20.5)	(12.0, 30.0)	(13.0, 39.0)	(14.0, 50.0)	(15.0, 70.5)	(16.0, 113.0)	(17.0, 225.0)	(18.0, 500.5)	(19.0, 1916.5)	(20.0, 3251.5)	(21.0, 2843.5)	(22.0, 2948.0)	(23.0, 4687.5)	(24.0, 8987.5)	(25.0, 14286.5)	(26.0, 19655.5)	(27.0, 29773.5)	(28.0, 49095.0)	(29.0, 70976.0)	(30.0, 91481.5)	(31.0, 121054.5)	(32.0, 166062.0)	(33.0, 226382.5)	(34.0, 287628.0)	(35.0, 371057.0)	(36.0, 451739.5)	(37.0, 523316.5)	(38.0, 638184.0)	(39.0, 756117.5)	(40.0, 835978.0)	(41.0, 872093.5)	(42.0, 940044.5)	(43.0, 1013147.5)	(44.0, 958579.5)	(45.0, 841833.5)	(46.0, 810550.0)	(47.0, 795169.0)	(48.0, 798660.0)	(49.0, 837768.5)	(50.0, 647947.0)	(51.0, 754233.5)	(52.0, 646663.0)	(53.0, 192784.0)	(54.0, 103022.0)	(55.0, 46306.5)	(56.0, 23724.5)	(57.0, 20871.0)	(58.0, 19979.0)	(59.0, 14632.0)	(60.0, 9271.5)	(61.0, 3510.5)	(62.0, 1671.0)	(63.0, 1117.5)	(64.0, 721.0)	(65.0, 490.5)	(66.0, 279.5)	(67.0, 168.0)	(68.0, 106.0)	(69.0, 65.5)	(70.0, 42.0)	(71.0, 19.5)	(72.0, 10.5)	(73.0, 9.5)	(74.0, 7.5)	(75.0, 7.5)	(76.0, 7.5)	(77.0, 8.0)	(78.0, 10.0)	(79.0, 8.5)	(80.0, 3.5)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.5)
ERR1797970_2	(0.0, 32.0)	(1.0, 30.5)	(2.0, 27.0)	(3.0, 24.5)	(4.0, 31.0)	(5.0, 44.5)	(6.0, 46.5)	(7.0, 46.5)	(8.0, 61.0)	(9.0, 69.5)	(10.0, 89.0)	(11.0, 110.5)	(12.0, 126.0)	(13.0, 156.5)	(14.0, 190.5)	(15.0, 250.5)	(16.0, 366.0)	(17.0, 640.0)	(18.0, 1038.5)	(19.0, 2196.0)	(20.0, 4306.5)	(21.0, 6143.0)	(22.0, 8303.5)	(23.0, 10469.0)	(24.0, 13989.5)	(25.0, 21480.0)	(26.0, 31146.0)	(27.0, 42179.0)	(28.0, 59559.5)	(29.0, 82490.5)	(30.0, 116106.5)	(31.0, 162728.5)	(32.0, 224278.5)	(33.0, 303618.0)	(34.0, 385671.0)	(35.0, 476974.5)	(36.0, 576965.5)	(37.0, 684002.5)	(38.0, 809861.0)	(39.0, 978554.0)	(40.0, 1251178.5)	(41.0, 1568860.0)	(42.0, 1649008.5)	(43.0, 1501920.0)	(44.0, 1384204.0)	(45.0, 1376254.5)	(46.0, 1371942.5)	(47.0, 1458298.5)	(48.0, 1762633.0)	(49.0, 1825817.0)	(50.0, 1581243.0)	(51.0, 1475286.5)	(52.0, 1383172.5)	(53.0, 951642.5)	(54.0, 471853.5)	(55.0, 248172.5)	(56.0, 132736.5)	(57.0, 70612.5)	(58.0, 56313.0)	(59.0, 48455.5)	(60.0, 30537.0)	(61.0, 13639.0)	(62.0, 6055.0)	(63.0, 2849.0)	(64.0, 1668.5)	(65.0, 1196.5)	(66.0, 829.5)	(67.0, 591.5)	(68.0, 434.5)	(69.0, 329.5)	(70.0, 259.0)	(71.0, 210.5)	(72.0, 182.0)	(73.0, 159.5)	(74.0, 139.5)	(75.0, 113.5)	(76.0, 104.0)	(77.0, 96.5)	(78.0, 73.5)	(79.0, 77.5)	(80.0, 65.5)	(81.0, 45.0)	(82.0, 49.0)	(83.0, 43.0)	(84.0, 39.0)	(85.0, 38.0)	(86.0, 36.0)	(87.0, 35.5)	(88.0, 29.0)	(89.0, 26.5)	(90.0, 28.5)	(91.0, 27.0)	(92.0, 24.0)	(93.0, 24.0)	(94.0, 25.0)	(95.0, 23.0)	(96.0, 22.5)	(97.0, 25.0)	(98.0, 32.5)	(99.0, 49.0)	(100.0, 92.5)
ERR1797970_2_paired	(0.0, 20.0)	(1.0, 17.5)	(2.0, 12.0)	(3.0, 12.0)	(4.0, 17.0)	(5.0, 17.0)	(6.0, 10.5)	(7.0, 11.5)	(8.0, 21.5)	(9.0, 34.0)	(10.0, 39.5)	(11.0, 49.0)	(12.0, 57.5)	(13.0, 72.5)	(14.0, 102.0)	(15.0, 150.5)	(16.0, 249.5)	(17.0, 520.5)	(18.0, 971.0)	(19.0, 2160.0)	(20.0, 4247.5)	(21.0, 6037.0)	(22.0, 8102.0)	(23.0, 10188.0)	(24.0, 13647.0)	(25.0, 20801.5)	(26.0, 30230.5)	(27.0, 40913.0)	(28.0, 57702.5)	(29.0, 79742.0)	(30.0, 111129.5)	(31.0, 153615.0)	(32.0, 208691.0)	(33.0, 277677.0)	(34.0, 347999.0)	(35.0, 424205.5)	(36.0, 500842.0)	(37.0, 576187.0)	(38.0, 661431.0)	(39.0, 776022.5)	(40.0, 969674.0)	(41.0, 1182088.5)	(42.0, 1153971.5)	(43.0, 927503.5)	(44.0, 760166.0)	(45.0, 717213.0)	(46.0, 693552.5)	(47.0, 777231.0)	(48.0, 1067955.0)	(49.0, 1090364.0)	(50.0, 697700.5)	(51.0, 316825.5)	(52.0, 156693.0)	(53.0, 109476.5)	(54.0, 72383.5)	(55.0, 44732.5)	(56.0, 26087.5)	(57.0, 18295.0)	(58.0, 18219.0)	(59.0, 16523.0)	(60.0, 9703.5)	(61.0, 4340.0)	(62.0, 2231.0)	(63.0, 1340.0)	(64.0, 963.0)	(65.0, 819.5)	(66.0, 633.0)	(67.0, 395.0)	(68.0, 194.0)	(69.0, 94.0)	(70.0, 52.0)	(71.0, 26.0)	(72.0, 15.5)	(73.0, 12.5)	(74.0, 7.5)	(75.0, 3.5)	(76.0, 2.5)	(77.0, 2.5)	(78.0, 2.0)	(79.0, 1.0)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.5)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 1.0)	(97.0, 3.0)	(98.0, 8.0)	(99.0, 29.0)	(100.0, 72.0)
ERR1797971_1	(0.0, 30.0)	(1.0, 24.0)	(2.0, 12.5)	(3.0, 7.0)	(4.0, 7.0)	(5.0, 6.5)	(6.0, 8.0)	(7.0, 10.0)	(8.0, 10.5)	(9.0, 12.0)	(10.0, 15.5)	(11.0, 19.0)	(12.0, 25.0)	(13.0, 34.0)	(14.0, 40.0)	(15.0, 53.0)	(16.0, 85.5)	(17.0, 160.5)	(18.0, 383.5)	(19.0, 1628.5)	(20.0, 2844.5)	(21.0, 2538.5)	(22.0, 2638.0)	(23.0, 4218.5)	(24.0, 8292.0)	(25.0, 13282.5)	(26.0, 18121.0)	(27.0, 27344.5)	(28.0, 44813.5)	(29.0, 65460.0)	(30.0, 86654.5)	(31.0, 118089.5)	(32.0, 167749.0)	(33.0, 230327.5)	(34.0, 296906.5)	(35.0, 395337.5)	(36.0, 496936.5)	(37.0, 594121.0)	(38.0, 740936.5)	(39.0, 911657.0)	(40.0, 1078976.5)	(41.0, 1222664.5)	(42.0, 1401902.0)	(43.0, 1571362.5)	(44.0, 1613715.5)	(45.0, 1573977.0)	(46.0, 1550376.5)	(47.0, 1527876.5)	(48.0, 1587765.5)	(49.0, 1752553.0)	(50.0, 1628039.5)	(51.0, 1884414.0)	(52.0, 2078535.0)	(53.0, 1482548.0)	(54.0, 790576.5)	(55.0, 305064.5)	(56.0, 129100.0)	(57.0, 74001.5)	(58.0, 55912.5)	(59.0, 37131.5)	(60.0, 19631.5)	(61.0, 7134.0)	(62.0, 2913.0)	(63.0, 1252.5)	(64.0, 588.5)	(65.0, 326.5)	(66.0, 177.5)	(67.0, 100.0)	(68.0, 57.0)	(69.0, 39.0)	(70.0, 23.5)	(71.0, 14.5)	(72.0, 9.5)	(73.0, 5.0)	(74.0, 2.5)	(75.0, 3.0)	(76.0, 2.0)	(77.0, 4.0)	(78.0, 3.5)	(79.0, 0.0)	(80.0, 1.5)	(81.0, 2.0)	(82.0, 0.5)	(83.0, 0.5)	(84.0, 1.0)	(85.0, 1.0)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.5)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 0.5)
ERR1797971_1_paired	(0.0, 23.0)	(1.0, 16.0)	(2.0, 6.5)	(3.0, 5.5)	(4.0, 5.5)	(5.0, 3.5)	(6.0, 2.5)	(7.0, 5.0)	(8.0, 7.0)	(9.0, 7.5)	(10.0, 14.0)	(11.0, 18.5)	(12.0, 21.0)	(13.0, 28.0)	(14.0, 36.5)	(15.0, 52.0)	(16.0, 83.5)	(17.0, 169.5)	(18.0, 424.0)	(19.0, 1676.0)	(20.0, 2871.5)	(21.0, 2554.0)	(22.0, 2529.0)	(23.0, 3949.0)	(24.0, 7828.5)	(25.0, 12500.5)	(26.0, 17010.0)	(27.0, 25755.5)	(28.0, 42413.0)	(29.0, 61801.0)	(30.0, 80683.5)	(31.0, 107257.0)	(32.0, 148157.5)	(33.0, 201972.0)	(34.0, 257792.0)	(35.0, 336292.0)	(36.0, 412260.0)	(37.0, 478705.5)	(38.0, 586334.0)	(39.0, 700335.0)	(40.0, 782521.5)	(41.0, 820871.0)	(42.0, 893624.0)	(43.0, 966675.5)	(44.0, 919715.5)	(45.0, 813515.5)	(46.0, 782616.0)	(47.0, 776886.0)	(48.0, 794486.5)	(49.0, 846909.5)	(50.0, 658504.0)	(51.0, 747259.5)	(52.0, 640137.0)	(53.0, 194518.0)	(54.0, 100665.5)	(55.0, 46567.5)	(56.0, 24308.0)	(57.0, 20044.5)	(58.0, 18798.0)	(59.0, 13915.0)	(60.0, 8917.0)	(61.0, 3456.0)	(62.0, 1622.0)	(63.0, 1079.0)	(64.0, 670.5)	(65.0, 469.5)	(66.0, 298.5)	(67.0, 173.5)	(68.0, 112.5)	(69.0, 71.5)	(70.0, 43.0)	(71.0, 25.5)	(72.0, 14.0)	(73.0, 9.0)	(74.0, 9.5)	(75.0, 9.5)	(76.0, 9.5)	(77.0, 8.0)	(78.0, 5.0)	(79.0, 5.0)	(80.0, 5.0)	(81.0, 2.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.0)
