Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR1797969_1	(2.0, 1721.0)	(3.0, 274.0)	(4.0, 248.0)	(5.0, 323.0)	(6.0, 496.0)	(7.0, 925.0)	(8.0, 2060.0)	(9.0, 3258.0)	(10.0, 4512.0)	(11.0, 6194.0)	(12.0, 8271.0)	(13.0, 10544.0)	(14.0, 12958.0)	(15.0, 15079.0)	(16.0, 16768.0)	(17.0, 18874.0)	(18.0, 21740.0)	(19.0, 25175.0)	(20.0, 29316.0)	(21.0, 35609.0)	(22.0, 41145.0)	(23.0, 54609.0)	(24.0, 74497.0)	(25.0, 92167.0)	(26.0, 126091.0)	(27.0, 175135.0)	(28.0, 241217.0)	(29.0, 327128.0)	(30.0, 436766.0)	(31.0, 543489.0)	(32.0, 697417.0)	(33.0, 926043.0)	(34.0, 1281083.0)	(35.0, 1907995.0)	(36.0, 3812447.0)	(37.0, 7549739.0)	(38.0, 6910932.0)	(39.0, 524927.0)	(40.0, 196.0)
ERR1797969_1_paired	(21.0, 13.0)	(22.0, 58.0)	(23.0, 173.0)	(24.0, 799.0)	(25.0, 3171.0)	(26.0, 10700.0)	(27.0, 28420.0)	(28.0, 60857.0)	(29.0, 106808.0)	(30.0, 163516.0)	(31.0, 227312.0)	(32.0, 303164.0)	(33.0, 405700.0)	(34.0, 564125.0)	(35.0, 836393.0)	(36.0, 1500877.0)	(37.0, 3650985.0)	(38.0, 4919969.0)	(39.0, 422387.0)	(40.0, 676.0)																			
ERR1797969_2	(2.0, 211417.0)	(3.0, 32865.0)	(4.0, 29040.0)	(5.0, 20837.0)	(6.0, 18075.0)	(7.0, 19027.0)	(8.0, 21414.0)	(9.0, 24321.0)	(10.0, 26972.0)	(11.0, 30144.0)	(12.0, 33243.0)	(13.0, 36202.0)	(14.0, 39840.0)	(15.0, 41351.0)	(16.0, 42692.0)	(17.0, 42573.0)	(18.0, 42031.0)	(19.0, 42955.0)	(20.0, 46194.0)	(21.0, 50500.0)	(22.0, 57917.0)	(23.0, 70697.0)	(24.0, 90000.0)	(25.0, 120067.0)	(26.0, 157667.0)	(27.0, 205893.0)	(28.0, 253231.0)	(29.0, 303075.0)	(30.0, 383876.0)	(31.0, 495506.0)	(32.0, 651120.0)	(33.0, 874912.0)	(34.0, 1213177.0)	(35.0, 1772507.0)	(36.0, 3258384.0)	(37.0, 7495809.0)	(38.0, 6506675.0)	(39.0, 1173401.0)	(40.0, 1761.0)
ERR1797969_2_paired	(19.0, 7.0)	(20.0, 82.0)	(21.0, 538.0)	(22.0, 2185.0)	(23.0, 6312.0)	(24.0, 14220.0)	(25.0, 26939.0)	(26.0, 44903.0)	(27.0, 66834.0)	(28.0, 94903.0)	(29.0, 129796.0)	(30.0, 172718.0)	(31.0, 225325.0)	(32.0, 292488.0)	(33.0, 390329.0)	(34.0, 540688.0)	(35.0, 791978.0)	(36.0, 1449556.0)	(37.0, 3795662.0)	(38.0, 4261546.0)	(39.0, 897191.0)	(40.0, 1903.0)																	
ERR1797970_1	(2.0, 1838.0)	(3.0, 247.0)	(4.0, 275.0)	(5.0, 359.0)	(6.0, 533.0)	(7.0, 1030.0)	(8.0, 2041.0)	(9.0, 3372.0)	(10.0, 4576.0)	(11.0, 6188.0)	(12.0, 7915.0)	(13.0, 10240.0)	(14.0, 12491.0)	(15.0, 14450.0)	(16.0, 16117.0)	(17.0, 18060.0)	(18.0, 21122.0)	(19.0, 24830.0)	(20.0, 28945.0)	(21.0, 34507.0)	(22.0, 41641.0)	(23.0, 53912.0)	(24.0, 73926.0)	(25.0, 91887.0)	(26.0, 125865.0)	(27.0, 174393.0)	(28.0, 241105.0)	(29.0, 326066.0)	(30.0, 436954.0)	(31.0, 544598.0)	(32.0, 685258.0)	(33.0, 908319.0)	(34.0, 1253171.0)	(35.0, 1845763.0)	(36.0, 3535964.0)	(37.0, 7834077.0)	(38.0, 7648001.0)	(39.0, 604112.0)	(40.0, 232.0)
ERR1797970_1_paired	(21.0, 13.0)	(22.0, 74.0)	(23.0, 249.0)	(24.0, 931.0)	(25.0, 3429.0)	(26.0, 11446.0)	(27.0, 30680.0)	(28.0, 65811.0)	(29.0, 115698.0)	(30.0, 176428.0)	(31.0, 245810.0)	(32.0, 329711.0)	(33.0, 442867.0)	(34.0, 616650.0)	(35.0, 916328.0)	(36.0, 1642532.0)	(37.0, 4103452.0)	(38.0, 5632779.0)	(39.0, 507891.0)	(40.0, 835.0)																			
ERR1797970_2	(2.0, 219761.0)	(3.0, 34981.0)	(4.0, 30300.0)	(5.0, 21492.0)	(6.0, 18932.0)	(7.0, 19867.0)	(8.0, 21887.0)	(9.0, 24722.0)	(10.0, 27363.0)	(11.0, 30559.0)	(12.0, 34248.0)	(13.0, 36844.0)	(14.0, 40162.0)	(15.0, 42413.0)	(16.0, 43843.0)	(17.0, 43386.0)	(18.0, 42798.0)	(19.0, 44346.0)	(20.0, 47669.0)	(21.0, 52187.0)	(22.0, 60752.0)	(23.0, 74685.0)	(24.0, 96518.0)	(25.0, 128607.0)	(26.0, 169622.0)	(27.0, 218618.0)	(28.0, 264832.0)	(29.0, 311670.0)	(30.0, 389383.0)	(31.0, 502987.0)	(32.0, 657730.0)	(33.0, 879502.0)	(34.0, 1214019.0)	(35.0, 1767828.0)	(36.0, 3215409.0)	(37.0, 7525067.0)	(38.0, 6963184.0)	(39.0, 1313891.0)	(40.0, 2316.0)
ERR1797970_2_paired	(19.0, 13.0)	(20.0, 104.0)	(21.0, 649.0)	(22.0, 2649.0)	(23.0, 7431.0)	(24.0, 16467.0)	(25.0, 30865.0)	(26.0, 50597.0)	(27.0, 75373.0)	(28.0, 106359.0)	(29.0, 145262.0)	(30.0, 191979.0)	(31.0, 250310.0)	(32.0, 323750.0)	(33.0, 430325.0)	(34.0, 595042.0)	(35.0, 869157.0)	(36.0, 1574674.0)	(37.0, 4160959.0)	(38.0, 4947193.0)	(39.0, 1061935.0)	(40.0, 2521.0)																	
ERR1797971_1	(2.0, 1705.0)	(3.0, 233.0)	(4.0, 261.0)	(5.0, 352.0)	(6.0, 570.0)	(7.0, 1006.0)	(8.0, 2210.0)	(9.0, 3466.0)	(10.0, 4827.0)	(11.0, 6541.0)	(12.0, 8652.0)	(13.0, 11038.0)	(14.0, 13966.0)	(15.0, 15487.0)	(16.0, 17601.0)	(17.0, 19921.0)	(18.0, 23189.0)	(19.0, 26820.0)	(20.0, 32194.0)	(21.0, 38510.0)	(22.0, 46578.0)	(23.0, 61034.0)	(24.0, 82962.0)	(25.0, 102746.0)	(26.0, 140817.0)	(27.0, 194406.0)	(28.0, 267998.0)	(29.0, 362070.0)	(30.0, 482846.0)	(31.0, 591764.0)	(32.0, 733251.0)	(33.0, 964772.0)	(34.0, 1327259.0)	(35.0, 1955860.0)	(36.0, 3769572.0)	(37.0, 8184641.0)	(38.0, 7550014.0)	(39.0, 562294.0)	(40.0, 182.0)
ERR1797971_1_paired	(20.0, 3.0)	(21.0, 7.0)	(22.0, 62.0)	(23.0, 205.0)	(24.0, 866.0)	(25.0, 3299.0)	(26.0, 10894.0)	(27.0, 29242.0)	(28.0, 62649.0)	(29.0, 110459.0)	(30.0, 169696.0)	(31.0, 237151.0)	(32.0, 317746.0)	(33.0, 424671.0)	(34.0, 594494.0)	(35.0, 884623.0)	(36.0, 1579077.0)	(37.0, 3919921.0)	(38.0, 5375974.0)	(39.0, 464564.0)	(40.0, 735.0)																		
