Sample	Unique Reads	Duplicate Reads
ERR1797969_1	4495525.0	21441843.0
ERR1797969_1_paired	2388319.0	10817784.0
ERR1797969_2	4979033.0	20958335.0
ERR1797969_2_paired	2703366.0	10502737.0
ERR1797970_1	4540086.0	22094294.0
ERR1797970_1_paired	2604620.0	12238994.0
ERR1797970_2	5137095.0	21497285.0
ERR1797970_2_paired	2966403.0	11877211.0
ERR1797971_1	4698697.0	22910918.0
ERR1797971_1_paired	2520382.0	11665956.0
ERR1797971_2	5263476.0	22346139.0
ERR1797971_2_paired	2839855.0	11346483.0
ERR1797972_1	5252941.0	21825943.0
ERR1797972_1_paired	2607302.0	11289388.0
ERR1797972_2	6033153.0	21045731.0
ERR1797972_2_paired	3066576.0	10830114.0
ERR1797973_1	4640998.0	19312342.0
ERR1797973_1_paired	2559521.0	11272229.0
ERR1797973_2	5297478.0	18655862.0
ERR1797973_2_paired	2969449.0	10862301.0
ERR1797974_1	4940054.0	18300123.0
ERR1797974_1_paired	2557656.0	9986471.0
ERR1797974_2	5662407.0	17577770.0
ERR1797974_2_paired	3015842.0	9528285.0
