Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1797969_1	(1.0, 12.457750121717147)	(2.0, 3.622097468623875)	(3.0, 2.3777841084145503)	(4.0, 1.7863736018380723)	(5.0, 1.4655544804509775)	(6.0, 1.2529678119071022)	(7.0, 1.106947695593221)	(8.0, 1.010028330515904)	(9.0, 0.9295473393328961)	('>10', 15.073006667384083)	('>50', 6.715062632781395)	('>100', 14.09615763887581)	('>500', 4.940629511173466)	('>1k', 8.919933714703804)	('>5k', 2.7369103114878492)	('>10k+', 21.509248565199883)
ERR1797969_1_paired	(1.0, 12.345546119018847)	(2.0, 4.235017848595028)	(3.0, 2.758094618112389)	(4.0, 2.119826562364723)	(5.0, 1.8161473976672886)	(6.0, 1.520022514262016)	(7.0, 1.360864048927624)	(8.0, 1.2410294186973183)	(9.0, 1.1233142998184316)	('>10', 17.525723071626885)	('>50', 7.429562804687937)	('>100', 13.672623170324222)	('>500', 4.285872474968469)	('>1k', 7.626618795601751)	('>5k', 2.5773152045418497)	('>10k+', 18.36242165078526)
ERR1797969_2	(1.0, 13.826999044622484)	(2.0, 4.172656818165618)	(3.0, 2.611327680725671)	(4.0, 2.02121589133165)	(5.0, 1.6643080138805337)	(6.0, 1.3360757588544103)	(7.0, 1.21210719293245)	(8.0, 1.0786914671458128)	(9.0, 0.9431857060356317)	('>10', 15.281547012107325)	('>50', 6.309480008269391)	('>100', 12.763855488568446)	('>500', 3.8852589215858955)	('>1k', 6.111365778304194)	('>5k', 2.0496367380553093)	('>10k+', 24.732288479415125)
ERR1797969_2_paired	(1.0, 14.052852935122386)	(2.0, 4.928527009388619)	(3.0, 3.2291080062726305)	(4.0, 2.462437249176946)	(5.0, 2.02765764451877)	(6.0, 1.6613354800346691)	(7.0, 1.5144083972000877)	(8.0, 1.2775665831055805)	(9.0, 1.226650510810967)	('>10', 17.57274032505112)	('>50', 6.468409168512765)	('>100', 11.801698863486255)	('>500', 3.033295523157016)	('>1k', 4.648960896389607)	('>5k', 2.020169160707875)	('>10k+', 22.07418224706454)
ERR1797970_1	(1.0, 12.214162037905131)	(2.0, 3.645988613498257)	(3.0, 2.2813859865605397)	(4.0, 1.777897112715866)	(5.0, 1.4774628279071484)	(6.0, 1.2163588408111927)	(7.0, 1.0727758764956923)	(8.0, 0.9710290448838227)	(9.0, 0.8911613198845055)	('>10', 15.004964656400816)	('>50', 6.657400553639035)	('>100', 14.442236907981492)	('>500', 5.252499268997659)	('>1k', 9.120964735657742)	('>5k', 2.744028811957439)	('>10k+', 21.229683404703557)
ERR1797970_1_paired	(1.0, 12.002385204623298)	(2.0, 4.053370012580434)	(3.0, 2.698358392021122)	(4.0, 2.096483150624166)	(5.0, 1.698994002106381)	(6.0, 1.4558257200057056)	(7.0, 1.3205165181287513)	(8.0, 1.1872801536768527)	(9.0, 1.0422597978674362)	('>10', 17.17811305999595)	('>50', 7.368470972141009)	('>100', 14.523208993721326)	('>500', 4.6199808439864345)	('>1k', 8.097850862269665)	('>5k', 2.6933481769300505)	('>10k+', 17.963554139321523)
ERR1797970_2	(1.0, 13.90853604561005)	(2.0, 4.138538991188242)	(3.0, 2.623958937310053)	(4.0, 2.012990690275626)	(5.0, 1.6203497712765171)	(6.0, 1.363249545353507)	(7.0, 1.2268131731447478)	(8.0, 1.1034210974107295)	(9.0, 0.9856181162731646)	('>10', 15.62733922164378)	('>50', 6.451569255152889)	('>100', 13.175705924862507)	('>500', 3.959255404542579)	('>1k', 6.390787303130783)	('>5k', 1.9031332152857339)	('>10k+', 23.508733307538844)
ERR1797970_2_paired	(1.0, 13.693267652702456)	(2.0, 4.806274156310007)	(3.0, 3.0795816336553763)	(4.0, 2.432198016627711)	(5.0, 1.9358081792556343)	(6.0, 1.673381940333552)	(7.0, 1.50136856496867)	(8.0, 1.2384035847619594)	(9.0, 1.162308144145881)	('>10', 17.81190338391391)	('>50', 6.831522121269745)	('>100', 12.519992187520366)	('>500', 3.369728050699597)	('>1k', 5.032716317083364)	('>5k', 1.8824226869364586)	('>10k+', 21.029123379815378)
ERR1797971_1	(1.0, 12.27975203760821)	(2.0, 3.6552330680245446)	(3.0, 2.23681873576391)	(4.0, 1.74703269770754)	(5.0, 1.410865033790984)	(6.0, 1.2480417654116471)	(7.0, 1.060024246524184)	(8.0, 0.9382380475089522)	(9.0, 0.8398021770787316)	('>10', 14.13043732542129)	('>50', 6.364170401227819)	('>100', 13.944191477784798)	('>500', 5.23971734639814)	('>1k', 9.329912746587771)	('>5k', 3.3026006214203742)	('>10k+', 22.273162271741246)
ERR1797971_1_paired	(1.0, 12.289074400554108)	(2.0, 4.0646396545130825)	(3.0, 2.6180083142769424)	(4.0, 2.0552972382821184)	(5.0, 1.7507074172463815)	(6.0, 1.4616487181144695)	(7.0, 1.2688442618789542)	(8.0, 1.144993511035066)	(9.0, 0.9882300598362217)	('>10', 16.755168215251917)	('>50', 7.136498054238782)	('>100', 14.170165402303992)	('>500', 4.499442495439686)	('>1k', 8.060378041651141)	('>5k', 2.7484396153852493)	('>10k+', 18.988464599991893)
ERR1797971_2	(1.0, 13.818408823711655)	(2.0, 4.117579947792374)	(3.0, 2.5752772045961168)	(4.0, 1.9512250937707383)	(5.0, 1.5366151248539432)	(6.0, 1.3054982075833692)	(7.0, 1.224247109351961)	(8.0, 1.0402262027590257)	(9.0, 0.9161675995081433)	('>10', 14.7084661341934)	('>50', 6.156746182487956)	('>100', 12.878063518152635)	('>500', 4.0969944284018265)	('>1k', 6.564552470478096)	('>5k', 2.3150257722679193)	('>10k+', 24.79490618009084)
ERR1797971_2_paired	(1.0, 13.795124356709728)	(2.0, 4.779471391260817)	(3.0, 3.1432677140367593)	(4.0, 2.3900546821831967)	(5.0, 1.939265351978318)	(6.0, 1.6134223478007728)	(7.0, 1.4144137830518855)	(8.0, 1.2584982871424977)	(9.0, 1.1302249661365358)	('>10', 17.181638771821525)	('>50', 6.626392168689716)	('>100', 12.24035588018601)	('>500', 3.2430541866743434)	('>1k', 4.972821892567813)	('>5k', 2.0542345931533066)	('>10k+', 22.217759626606753)
ERR1797972_1	(1.0, 13.91405939127405)	(2.0, 4.160861643703504)	(3.0, 2.5532901850271568)	(4.0, 1.9831128670995752)	(5.0, 1.6198274616341217)	(6.0, 1.399973214776569)	(7.0, 1.2181090312042802)	(8.0, 1.1388995462000737)	(9.0, 0.9953657059203034)	('>10', 17.166999746596534)	('>50', 7.835983355324383)	('>100', 18.070696333866007)	('>500', 6.940782215020767)	('>1k', 12.042284462497465)	('>5k', 3.4744618730713626)	('>10k+', 5.485292966783922)
ERR1797972_1_paired	(1.0, 12.86589422123629)	(2.0, 4.175272200249789)	(3.0, 2.790200837856591)	(4.0, 2.200197582068768)	(5.0, 1.8050226754134042)	(6.0, 1.640859125177355)	(7.0, 1.386864571532844)	(8.0, 1.2634071045962907)	(9.0, 1.1152544935514308)	('>10', 19.61260034665564)	('>50', 8.444095487971284)	('>100', 18.60568836003211)	('>500', 6.412839592915484)	('>1k', 10.979969155945616)	('>5k', 2.2595030867462476)	('>10k+', 4.442331158050846)
ERR1797972_2	(1.0, 15.935102426624537)	(2.0, 4.898346248553048)	(3.0, 3.0548498819095613)	(4.0, 2.3619811199782967)	(5.0, 1.9231869905608112)	(6.0, 1.5912878176868583)	(7.0, 1.390760031136859)	(8.0, 1.2716946340267998)	(9.0, 1.115294421558847)	('>10', 18.59992449492586)	('>50', 8.02187321377447)	('>100', 17.29679285927081)	('>500', 5.935076708764877)	('>1k', 10.255596711128195)	('>5k', 2.7064373526269265)	('>10k+', 3.6417950874734344)
ERR1797972_2_paired	(1.0, 15.036460689189626)	(2.0, 5.2946029076283505)	(3.0, 3.4741212300908604)	(4.0, 2.638374658372341)	(5.0, 2.184309816876548)	(6.0, 1.8168056624047715)	(7.0, 1.6108561807581991)	(8.0, 1.4212641154204781)	(9.0, 1.3546032908358394)	('>10', 20.62041966373272)	('>50', 8.4203793451294)	('>100', 17.106138761012314)	('>500', 5.690557553222746)	('>1k', 9.123834996107218)	('>5k', 1.898086546048329)	('>10k+', 2.309184583170172)
ERR1797973_1	(1.0, 13.895194589226701)	(2.0, 4.145550754951304)	(3.0, 2.571066682999697)	(4.0, 1.981965171300281)	(5.0, 1.6333292378085194)	(6.0, 1.3814536371005592)	(7.0, 1.2337026011940095)	(8.0, 1.0906991822780543)	(9.0, 1.0359375712093846)	('>10', 17.122893569296725)	('>50', 7.752011424071902)	('>100', 17.784620300496503)	('>500', 6.832410476808888)	('>1k', 12.115840270870413)	('>5k', 3.7381373962732027)	('>10k+', 5.685187134113794)
ERR1797973_1_paired	(1.0, 12.682415550806772)	(2.0, 4.124006015371997)	(3.0, 2.741594486054853)	(4.0, 2.1568611431802873)	(5.0, 1.8399086143386374)	(6.0, 1.5973403159647972)	(7.0, 1.3844562171159842)	(8.0, 1.2720730142431067)	(9.0, 1.1324298155319117)	('>10', 19.117604798448067)	('>50', 8.374401535398441)	('>100', 18.327568369997856)	('>500', 6.568674109717765)	('>1k', 11.18440458248038)	('>5k', 2.7159048757117725)	('>10k+', 4.7803565556373195)
