Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
ERR1797969_1	(100, 25937368.0)																																
ERR1797969_1_paired	(36, 6311.0)	(38, 6617.0)	(40, 6753.0)	(42, 6733.0)	(44, 7204.0)	(46, 7240.0)	(48, 8037.0)	(50, 8329.0)	(52, 8490.0)	(54, 8692.0)	(56, 9517.0)	(58, 8745.0)	(60, 11654.0)	(62, 9830.0)	(64, 12316.0)	(66, 12295.0)	(68, 10619.0)	(70, 10501.0)	(72, 10767.0)	(74, 12350.0)	(76, 13352.0)	(78, 14379.0)	(80, 14715.0)	(82, 14312.0)	(84, 14748.0)	(86, 16259.0)	(88, 18308.0)	(90, 22511.0)	(92, 27204.0)	(94, 33978.0)	(96, 42618.0)	(98, 48622.0)	(100, 12742097.0)
ERR1797969_2	(100, 25937368.0)																																
ERR1797969_2_paired	(36, 12752.0)	(38, 11798.0)	(40, 13436.0)	(42, 12809.0)	(44, 15509.0)	(46, 15941.0)	(48, 15400.0)	(50, 13026.0)	(52, 12763.0)	(54, 13471.0)	(56, 14443.0)	(58, 15456.0)	(60, 13875.0)	(62, 14408.0)	(64, 13437.0)	(66, 13148.0)	(68, 14325.0)	(70, 14431.0)	(72, 14155.0)	(74, 14895.0)	(76, 14513.0)	(78, 14404.0)	(80, 14125.0)	(82, 14057.0)	(84, 15535.0)	(86, 16418.0)	(88, 17941.0)	(90, 20092.0)	(92, 26676.0)	(94, 33542.0)	(96, 48782.0)	(98, 36695.0)	(100, 12653845.0)
ERR1797970_1	(100, 26634380.0)																																
ERR1797970_1_paired	(36, 7051.0)	(38, 7058.0)	(40, 7329.0)	(42, 7428.0)	(44, 7879.0)	(46, 7953.0)	(48, 8310.0)	(50, 8959.0)	(52, 9327.0)	(54, 9291.0)	(56, 10122.0)	(58, 9444.0)	(60, 12635.0)	(62, 10745.0)	(64, 13193.0)	(66, 13484.0)	(68, 11343.0)	(70, 11276.0)	(72, 11942.0)	(74, 13447.0)	(76, 14184.0)	(78, 15578.0)	(80, 15726.0)	(82, 15036.0)	(84, 15537.0)	(86, 17285.0)	(88, 19407.0)	(90, 23441.0)	(92, 28126.0)	(94, 35590.0)	(96, 43651.0)	(98, 51092.0)	(100, 14350745.0)
ERR1797970_2	(100, 26634380.0)																																
ERR1797970_2_paired	(36, 14524.0)	(38, 13377.0)	(40, 15340.0)	(42, 14612.0)	(44, 17409.0)	(46, 17431.0)	(48, 17259.0)	(50, 14925.0)	(52, 14305.0)	(54, 15141.0)	(56, 16289.0)	(58, 17361.0)	(60, 15411.0)	(62, 16022.0)	(64, 15136.0)	(66, 15036.0)	(68, 16210.0)	(70, 16600.0)	(72, 16109.0)	(74, 17159.0)	(76, 16383.0)	(78, 15867.0)	(80, 16042.0)	(82, 15951.0)	(84, 17435.0)	(86, 18237.0)	(88, 20016.0)	(90, 22490.0)	(92, 29763.0)	(94, 36157.0)	(96, 53588.0)	(98, 40866.0)	(100, 14225163.0)
ERR1797971_1	(100, 27609615.0)																																
ERR1797971_1_paired	(36, 6523.0)	(38, 6780.0)	(40, 7022.0)	(42, 6929.0)	(44, 7485.0)	(46, 7466.0)	(48, 8171.0)	(50, 8710.0)	(52, 8779.0)	(54, 8912.0)	(56, 9767.0)	(58, 9146.0)	(60, 11974.0)	(62, 10342.0)	(64, 12838.0)	(66, 12865.0)	(68, 11063.0)	(70, 10882.0)	(72, 11853.0)	(74, 13812.0)	(76, 15246.0)	(78, 16915.0)	(80, 16751.0)	(82, 15184.0)	(84, 15681.0)	(86, 17294.0)	(88, 19453.0)	(90, 23268.0)	(92, 27859.0)	(94, 35678.0)	(96, 43714.0)	(98, 49471.0)	(100, 13698505.0)
ERR1797971_2	(100, 27609615.0)																																
ERR1797971_2_paired	(36, 14208.0)	(38, 13476.0)	(40, 15102.0)	(42, 14434.0)	(44, 17225.0)	(46, 18045.0)	(48, 17087.0)	(50, 14589.0)	(52, 14290.0)	(54, 15063.0)	(56, 15949.0)	(58, 17110.0)	(60, 15281.0)	(62, 15821.0)	(64, 15282.0)	(66, 15376.0)	(68, 16661.0)	(70, 17573.0)	(72, 17605.0)	(74, 17961.0)	(76, 16631.0)	(78, 16426.0)	(80, 16469.0)	(82, 15828.0)	(84, 17795.0)	(86, 18806.0)	(88, 20757.0)	(90, 23557.0)	(92, 31115.0)	(94, 37917.0)	(96, 55863.0)	(98, 40760.0)	(100, 13556276.0)
ERR1797972_1	(100, 27078884.0)																																
