Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR1797969_1	ERR1797969_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25937368.0	2.5 Gbp	0.0	100.0	45.0	17.332230347172707	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797969_1_paired	ERR1797969_1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13206103.0	1.3 Gbp	0.0	36-100	43.0	18.084958666840826	99.6975802399845	100	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass
ERR1797969_2	ERR1797969_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25937368.0	2.5 Gbp	0.0	100.0	44.0	19.196369177897367	100.0	100	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797969_2_paired	ERR1797969_2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13206103.0	1.3 Gbp	0.0	36-100	42.0	20.470574357276327	99.34282486665445	100	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR1797970_1	ERR1797970_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26634380.0	2.6 Gbp	0.0	100.0	44.0	17.04595717181949	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797970_1_paired	ERR1797970_1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14843614.0	1.4 Gbp	0.0	36-100	42.0	17.547070564762247	99.73191495009235	100	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass
ERR1797970_2	ERR1797970_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26634380.0	2.6 Gbp	0.0	100.0	44.0	19.287456871784876	100.0	100	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797970_2_paired	ERR1797970_2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14843614.0	1.4 Gbp	0.0	36-100	41.0	19.98436674384296	99.34046216777128	100	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR1797971_1	ERR1797971_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27609615.0	2.7 Gbp	0.0	100.0	45.0	17.018332256919543	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797971_1_paired	ERR1797971_1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14186338.0	1.4 Gbp	0.0	36-100	43.0	17.766258537534103	99.71415857989567	100	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass
