Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR1797969_1	82.66776965282729	45.0	100.0	100	45.45454545454545	25.937368
ERR1797969_1_paired	81.91504133315917	43.0	99.6975802399845	100	18.181818181818183	13.206102999999999
ERR1797969_2	80.80363082210263	44.0	100.0	100	45.45454545454545	25.937368
ERR1797969_2_paired	79.52942564272368	42.0	99.34282486665445	100	36.36363636363637	13.206102999999999
ERR1797970_1	82.9540428281805	44.0	100.0	100	45.45454545454545	26.63438
ERR1797970_1_paired	82.45292943523775	42.0	99.73191495009235	100	18.181818181818183	14.843613999999999
ERR1797970_2	80.71254312821512	44.0	100.0	100	45.45454545454545	26.63438
ERR1797970_2_paired	80.01563325615705	41.0	99.34046216777128	100	27.27272727272727	14.843613999999999
ERR1797971_1	82.98166774308046	45.0	100.0	100	45.45454545454545	27.609614999999998
ERR1797971_1_paired	82.2337414624659	43.0	99.71415857989567	100	18.181818181818183	14.186338
ERR1797971_2	80.9360780955197	44.0	100.0	100	45.45454545454545	27.609614999999998
ERR1797971_2_paired	79.98176718101271	42.0	99.27778127096647	100	27.27272727272727	14.186338
ERR1797972_1	80.60134232324216	43.0	100.0	100	18.181818181818183	27.078884
ERR1797972_1_paired	81.23796753853229	41.0	99.72221205193468	100	9.090909090909092	13.89669
ERR1797972_2	77.72008493194839	42.0	100.0	100	27.27272727272727	27.078884
ERR1797972_2_paired	77.93305006282088	40.0	99.27670049486605	100	18.181818181818183	13.89669
ERR1797973_1	80.62484008877074	42.0	100.0	100	18.181818181818183	23.953339999999997
ERR1797973_1_paired	81.49532170847053	41.0	99.75080441737308	100	9.090909090909092	13.83175
ERR1797973_2	77.88418042016767	42.0	100.0	100	27.27272727272727	23.953339999999997
ERR1797973_2_paired	78.53165284522264	40.0	99.35446671606991	100	18.181818181818183	13.83175
ERR1797974_1	78.74347792427147	43.0	100.0	100	18.181818181818183	23.240177
ERR1797974_1_paired	79.61073106986123	41.0	99.73056136150407	100	9.090909090909092	12.544127
ERR1797974_2	75.63526919257173	42.0	100.0	100	27.27272727272727	23.240177
ERR1797974_2_paired	75.95814131724312	40.0	99.21688910675091	100	18.181818181818183	12.544127
