Module	Section	Sample Name	Source
FastQC	all_sections	ERR1797974_2	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797974_2_fastqc.zip
FastQC	all_sections	ERR1797971_1	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797971_1_fastqc.zip
FastQC	all_sections	ERR1797972_1	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797972_1_fastqc.zip
FastQC	all_sections	ERR1797974_1	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797974_1_fastqc.zip
FastQC	all_sections	ERR1797969_2	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797969_2_fastqc.zip
FastQC	all_sections	ERR1797970_2	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797970_2_fastqc.zip
FastQC	all_sections	ERR1797970_1	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797970_1_fastqc.zip
FastQC	all_sections	ERR1797973_2	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797973_2_fastqc.zip
FastQC	all_sections	ERR1797972_2	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797972_2_fastqc.zip
FastQC	all_sections	ERR1797969_1	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797969_1_fastqc.zip
FastQC	all_sections	ERR1797971_2	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797971_2_fastqc.zip
FastQC	all_sections	ERR1797973_1	/home/akshath/efaecium_project/results/qc/fastqc_raw/ERR1797973_1_fastqc.zip
FastQC	all_sections	ERR1797974_1_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_new/ERR1797974_1_paired_fastqc.zip
FastQC	all_sections	ERR1797973_1_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_new/ERR1797973_1_paired_fastqc.zip
FastQC	all_sections	ERR1797972_1_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_new/ERR1797972_1_paired_fastqc.zip
FastQC	all_sections	ERR1797973_2_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_new/ERR1797973_2_paired_fastqc.zip
FastQC	all_sections	ERR1797972_2_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_new/ERR1797972_2_paired_fastqc.zip
FastQC	all_sections	ERR1797974_2_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_new/ERR1797974_2_paired_fastqc.zip
FastQC	all_sections	ERR1797971_1_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_serum/ERR1797971_1_paired_fastqc.zip
FastQC	all_sections	ERR1797969_2_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_serum/ERR1797969_2_paired_fastqc.zip
FastQC	all_sections	ERR1797971_2_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_serum/ERR1797971_2_paired_fastqc.zip
FastQC	all_sections	ERR1797969_1_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_serum/ERR1797969_1_paired_fastqc.zip
FastQC	all_sections	ERR1797970_2_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_serum/ERR1797970_2_paired_fastqc.zip
FastQC	all_sections	ERR1797970_1_paired	/home/akshath/efaecium_project/results/qc/fastqc_trimmed_serum/ERR1797970_1_paired_fastqc.zip
