.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1797969_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR1797969_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR1797970_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR1797970_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR1797971_1	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR1797971_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
ERR1797972_1	1	1	0.5	1	0.5	1	1	1	0.25	0.5	0.25
ERR1797972_2	1	1	1	1	0.25	1	1	1	0.25	0.5	0.25
ERR1797973_1	1	1	0.5	1	0.5	1	1	1	0.25	0.5	0.25
ERR1797973_2	1	1	1	1	0.25	1	1	1	0.25	0.5	0.25
ERR1797974_1	1	1	0.5	1	0.5	1	1	1	0.25	0.5	0.25
ERR1797974_2	1	1	1	1	0.25	1	1	1	0.25	0.5	0.25
trim_paired_ERR1797969_pass_1	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.25	1
trim_paired_ERR1797969_pass_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
trim_paired_ERR1797970_pass_1	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.25	1
trim_paired_ERR1797970_pass_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
trim_paired_ERR1797971_pass_1	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.25	1
trim_paired_ERR1797971_pass_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
trim_paired_ERR1797972_pass_1	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
trim_paired_ERR1797972_pass_2	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
trim_paired_ERR1797973_pass_1	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
trim_paired_ERR1797973_pass_2	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
trim_paired_ERR1797974_pass_1	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
trim_paired_ERR1797974_pass_2	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
