Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR1797969_1	(0.0, 45.0)	(1.0, 31.5)	(2.0, 14.5)	(3.0, 10.0)	(4.0, 7.5)	(5.0, 7.5)	(6.0, 10.0)	(7.0, 13.0)	(8.0, 16.0)	(9.0, 16.0)	(10.0, 21.5)	(11.0, 21.5)	(12.0, 28.5)	(13.0, 34.5)	(14.0, 36.5)	(15.0, 54.5)	(16.0, 90.0)	(17.0, 160.0)	(18.0, 337.5)	(19.0, 1514.5)	(20.0, 2695.5)	(21.0, 2390.0)	(22.0, 2481.0)	(23.0, 4065.5)	(24.0, 7937.0)	(25.0, 12698.0)	(26.0, 17387.5)	(27.0, 26590.0)	(28.0, 43489.5)	(29.0, 62222.0)	(30.0, 82958.0)	(31.0, 113396.5)	(32.0, 158784.0)	(33.0, 219211.5)	(34.0, 286159.0)	(35.0, 378913.5)	(36.0, 474908.0)	(37.0, 572817.5)	(38.0, 716472.0)	(39.0, 884000.5)	(40.0, 1048882.0)	(41.0, 1182744.5)	(42.0, 1341625.5)	(43.0, 1478359.5)	(44.0, 1502825.5)	(45.0, 1469975.0)	(46.0, 1447624.0)	(47.0, 1430577.5)	(48.0, 1508248.0)	(49.0, 1653901.0)	(50.0, 1580918.0)	(51.0, 1925262.0)	(52.0, 1988314.0)	(53.0, 1235576.5)	(54.0, 606349.0)	(55.0, 228695.0)	(56.0, 93550.0)	(57.0, 51955.5)	(58.0, 38986.0)	(59.0, 26394.0)	(60.0, 14568.5)	(61.0, 5639.5)	(62.0, 2243.5)	(63.0, 1053.5)	(64.0, 466.0)	(65.0, 240.0)	(66.0, 133.5)	(67.0, 79.0)	(68.0, 54.5)	(69.0, 35.0)	(70.0, 21.0)	(71.0, 13.0)	(72.0, 6.5)	(73.0, 5.0)	(74.0, 3.5)	(75.0, 2.0)	(76.0, 1.5)	(77.0, 1.5)	(78.0, 2.0)	(79.0, 3.0)	(80.0, 2.5)	(81.0, 1.0)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 0.5)	(85.0, 0.5)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 0.5)
ERR1797969_2	(0.0, 13.0)	(1.0, 13.5)	(2.0, 16.0)	(3.0, 18.0)	(4.0, 21.5)	(5.0, 28.5)	(6.0, 38.5)	(7.0, 43.5)	(8.0, 46.5)	(9.0, 50.0)	(10.0, 65.0)	(11.0, 81.0)	(12.0, 96.5)	(13.0, 125.5)	(14.0, 153.0)	(15.0, 204.5)	(16.0, 304.0)	(17.0, 494.0)	(18.0, 777.5)	(19.0, 1719.5)	(20.0, 3381.5)	(21.0, 4776.0)	(22.0, 6706.5)	(23.0, 8640.5)	(24.0, 11630.5)	(25.0, 17855.5)	(26.0, 25714.5)	(27.0, 35204.5)	(28.0, 50193.0)	(29.0, 69782.5)	(30.0, 97986.0)	(31.0, 137908.5)	(32.0, 190936.0)	(33.0, 259433.0)	(34.0, 331765.5)	(35.0, 413956.5)	(36.0, 506357.5)	(37.0, 606614.5)	(38.0, 727085.5)	(39.0, 886917.0)	(40.0, 1135489.0)	(41.0, 1422188.5)	(42.0, 1514570.0)	(43.0, 1420316.0)	(44.0, 1338771.0)	(45.0, 1338631.0)	(46.0, 1342400.5)	(47.0, 1448516.0)	(48.0, 1767344.0)	(49.0, 1852919.0)	(50.0, 1646908.5)	(51.0, 1585851.5)	(52.0, 1521359.0)	(53.0, 1065066.0)	(54.0, 526055.0)	(55.0, 264366.5)	(56.0, 137218.5)	(57.0, 68183.0)	(58.0, 49964.0)	(59.0, 40795.5)	(60.0, 25535.5)	(61.0, 12118.0)	(62.0, 5713.0)	(63.0, 2775.5)	(64.0, 1707.5)	(65.0, 1217.0)	(66.0, 823.5)	(67.0, 575.0)	(68.0, 420.5)	(69.0, 324.0)	(70.0, 252.0)	(71.0, 199.5)	(72.0, 173.5)	(73.0, 137.5)	(74.0, 117.0)	(75.0, 105.5)	(76.0, 91.5)	(77.0, 83.0)	(78.0, 72.0)	(79.0, 62.5)	(80.0, 54.0)	(81.0, 51.0)	(82.0, 50.0)	(83.0, 43.5)	(84.0, 36.0)	(85.0, 24.5)	(86.0, 22.0)	(87.0, 30.5)	(88.0, 30.5)	(89.0, 26.5)	(90.0, 31.5)	(91.0, 29.5)	(92.0, 21.5)	(93.0, 19.0)	(94.0, 21.0)	(95.0, 25.0)	(96.0, 22.5)	(97.0, 23.5)	(98.0, 35.0)	(99.0, 47.5)	(100.0, 93.0)
ERR1797970_1	(0.0, 73.0)	(1.0, 51.5)	(2.0, 21.0)	(3.0, 11.5)	(4.0, 12.0)	(5.0, 12.5)	(6.0, 15.0)	(7.0, 19.5)	(8.0, 21.5)	(9.0, 18.0)	(10.0, 14.5)	(11.0, 20.0)	(12.0, 29.0)	(13.0, 37.0)	(14.0, 43.0)	(15.0, 61.5)	(16.0, 102.0)	(17.0, 196.5)	(18.0, 454.5)	(19.0, 1871.0)	(20.0, 3232.0)	(21.0, 2851.5)	(22.0, 3066.5)	(23.0, 4954.0)	(24.0, 9417.5)	(25.0, 15104.5)	(26.0, 20764.0)	(27.0, 31401.5)	(28.0, 51657.0)	(29.0, 74806.5)	(30.0, 97805.5)	(31.0, 132154.0)	(32.0, 186158.0)	(33.0, 255552.5)	(34.0, 327625.5)	(35.0, 431633.5)	(36.0, 538437.5)	(37.0, 640800.5)	(38.0, 794162.0)	(39.0, 965575.0)	(40.0, 1123198.0)	(41.0, 1254528.0)	(42.0, 1417773.0)	(43.0, 1572635.0)	(44.0, 1588879.0)	(45.0, 1524865.0)	(46.0, 1497395.0)	(47.0, 1461707.0)	(48.0, 1492746.0)	(49.0, 1614989.5)	(50.0, 1459536.5)	(51.0, 1672190.5)	(52.0, 1751091.0)	(53.0, 1256222.5)	(54.0, 773970.0)	(55.0, 298517.0)	(56.0, 109364.0)	(57.0, 63301.5)	(58.0, 48805.5)	(59.0, 33158.0)	(60.0, 18004.0)	(61.0, 6339.0)	(62.0, 2545.0)	(63.0, 1159.5)	(64.0, 539.5)	(65.0, 286.0)	(66.0, 169.0)	(67.0, 93.0)	(68.0, 54.0)	(69.0, 31.5)	(70.0, 21.0)	(71.0, 12.5)	(72.0, 7.0)	(73.0, 5.0)	(74.0, 3.0)	(75.0, 4.0)	(76.0, 4.0)	(77.0, 3.5)	(78.0, 2.0)	(79.0, 1.0)	(80.0, 0.5)	(81.0, 1.0)	(82.0, 1.0)	(83.0, 1.5)	(84.0, 2.5)	(85.0, 1.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.5)	(91.0, 1.0)	(92.0, 0.5)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 1.0)	(100.0, 2.5)
ERR1797970_2	(0.0, 32.0)	(1.0, 30.5)	(2.0, 27.0)	(3.0, 24.5)	(4.0, 31.0)	(5.0, 44.5)	(6.0, 46.5)	(7.0, 46.5)	(8.0, 61.0)	(9.0, 69.5)	(10.0, 89.0)	(11.0, 110.5)	(12.0, 126.0)	(13.0, 156.5)	(14.0, 190.5)	(15.0, 250.5)	(16.0, 366.0)	(17.0, 640.0)	(18.0, 1038.5)	(19.0, 2196.0)	(20.0, 4306.5)	(21.0, 6143.0)	(22.0, 8303.5)	(23.0, 10469.0)	(24.0, 13989.5)	(25.0, 21480.0)	(26.0, 31146.0)	(27.0, 42179.0)	(28.0, 59559.5)	(29.0, 82490.5)	(30.0, 116106.5)	(31.0, 162728.5)	(32.0, 224278.5)	(33.0, 303618.0)	(34.0, 385671.0)	(35.0, 476974.5)	(36.0, 576965.5)	(37.0, 684002.5)	(38.0, 809861.0)	(39.0, 978554.0)	(40.0, 1251178.5)	(41.0, 1568860.0)	(42.0, 1649008.5)	(43.0, 1501920.0)	(44.0, 1384204.0)	(45.0, 1376254.5)	(46.0, 1371942.5)	(47.0, 1458298.5)	(48.0, 1762633.0)	(49.0, 1825817.0)	(50.0, 1581243.0)	(51.0, 1475286.5)	(52.0, 1383172.5)	(53.0, 951642.5)	(54.0, 471853.5)	(55.0, 248172.5)	(56.0, 132736.5)	(57.0, 70612.5)	(58.0, 56313.0)	(59.0, 48455.5)	(60.0, 30537.0)	(61.0, 13639.0)	(62.0, 6055.0)	(63.0, 2849.0)	(64.0, 1668.5)	(65.0, 1196.5)	(66.0, 829.5)	(67.0, 591.5)	(68.0, 434.5)	(69.0, 329.5)	(70.0, 259.0)	(71.0, 210.5)	(72.0, 182.0)	(73.0, 159.5)	(74.0, 139.5)	(75.0, 113.5)	(76.0, 104.0)	(77.0, 96.5)	(78.0, 73.5)	(79.0, 77.5)	(80.0, 65.5)	(81.0, 45.0)	(82.0, 49.0)	(83.0, 43.0)	(84.0, 39.0)	(85.0, 38.0)	(86.0, 36.0)	(87.0, 35.5)	(88.0, 29.0)	(89.0, 26.5)	(90.0, 28.5)	(91.0, 27.0)	(92.0, 24.0)	(93.0, 24.0)	(94.0, 25.0)	(95.0, 23.0)	(96.0, 22.5)	(97.0, 25.0)	(98.0, 32.5)	(99.0, 49.0)	(100.0, 92.5)
ERR1797971_1	(0.0, 30.0)	(1.0, 24.0)	(2.0, 12.5)	(3.0, 7.0)	(4.0, 7.0)	(5.0, 6.5)	(6.0, 8.0)	(7.0, 10.0)	(8.0, 10.5)	(9.0, 12.0)	(10.0, 15.5)	(11.0, 19.0)	(12.0, 25.0)	(13.0, 34.0)	(14.0, 40.0)	(15.0, 53.0)	(16.0, 85.5)	(17.0, 160.5)	(18.0, 383.5)	(19.0, 1628.5)	(20.0, 2844.5)	(21.0, 2538.5)	(22.0, 2638.0)	(23.0, 4218.5)	(24.0, 8292.0)	(25.0, 13282.5)	(26.0, 18121.0)	(27.0, 27344.5)	(28.0, 44813.5)	(29.0, 65460.0)	(30.0, 86654.5)	(31.0, 118089.5)	(32.0, 167749.0)	(33.0, 230327.5)	(34.0, 296906.5)	(35.0, 395337.5)	(36.0, 496936.5)	(37.0, 594121.0)	(38.0, 740936.5)	(39.0, 911657.0)	(40.0, 1078976.5)	(41.0, 1222664.5)	(42.0, 1401902.0)	(43.0, 1571362.5)	(44.0, 1613715.5)	(45.0, 1573977.0)	(46.0, 1550376.5)	(47.0, 1527876.5)	(48.0, 1587765.5)	(49.0, 1752553.0)	(50.0, 1628039.5)	(51.0, 1884414.0)	(52.0, 2078535.0)	(53.0, 1482548.0)	(54.0, 790576.5)	(55.0, 305064.5)	(56.0, 129100.0)	(57.0, 74001.5)	(58.0, 55912.5)	(59.0, 37131.5)	(60.0, 19631.5)	(61.0, 7134.0)	(62.0, 2913.0)	(63.0, 1252.5)	(64.0, 588.5)	(65.0, 326.5)	(66.0, 177.5)	(67.0, 100.0)	(68.0, 57.0)	(69.0, 39.0)	(70.0, 23.5)	(71.0, 14.5)	(72.0, 9.5)	(73.0, 5.0)	(74.0, 2.5)	(75.0, 3.0)	(76.0, 2.0)	(77.0, 4.0)	(78.0, 3.5)	(79.0, 0.0)	(80.0, 1.5)	(81.0, 2.0)	(82.0, 0.5)	(83.0, 0.5)	(84.0, 1.0)	(85.0, 1.0)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.5)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 0.5)
ERR1797971_2	(0.0, 13.0)	(1.0, 15.0)	(2.0, 17.5)	(3.0, 25.0)	(4.0, 27.5)	(5.0, 32.5)	(6.0, 38.0)	(7.0, 42.0)	(8.0, 56.0)	(9.0, 71.0)	(10.0, 84.5)	(11.0, 99.5)	(12.0, 116.0)	(13.0, 128.5)	(14.0, 144.5)	(15.0, 192.5)	(16.0, 286.0)	(17.0, 498.5)	(18.0, 858.5)	(19.0, 1821.5)	(20.0, 3520.0)	(21.0, 5166.5)	(22.0, 7206.0)	(23.0, 9274.5)	(24.0, 12496.0)	(25.0, 19155.5)	(26.0, 27841.5)	(27.0, 37970.0)	(28.0, 54035.5)	(29.0, 74571.0)	(30.0, 104534.0)	(31.0, 147955.5)	(32.0, 204645.0)	(33.0, 277514.5)	(34.0, 354312.5)	(35.0, 441093.0)	(36.0, 536981.0)	(37.0, 640167.5)	(38.0, 762285.0)	(39.0, 930940.0)	(40.0, 1213981.0)	(41.0, 1546482.5)	(42.0, 1638090.5)	(43.0, 1503819.0)	(44.0, 1402745.5)	(45.0, 1410115.0)	(46.0, 1421298.0)	(47.0, 1527367.0)	(48.0, 1850979.5)	(49.0, 1941214.5)	(50.0, 1748923.5)	(51.0, 1703634.0)	(52.0, 1615930.0)	(53.0, 1114365.5)	(54.0, 563907.5)	(55.0, 304390.0)	(56.0, 163663.0)	(57.0, 86135.0)	(58.0, 68208.5)	(59.0, 57609.0)	(60.0, 35605.5)	(61.0, 15888.0)	(62.0, 7105.0)	(63.0, 3362.5)	(64.0, 1993.0)	(65.0, 1387.0)	(66.0, 1027.5)	(67.0, 754.5)	(68.0, 539.0)	(69.0, 403.5)	(70.0, 312.0)	(71.0, 247.5)	(72.0, 210.5)	(73.0, 184.0)	(74.0, 142.0)	(75.0, 112.0)	(76.0, 92.0)	(77.0, 94.0)	(78.0, 90.0)	(79.0, 70.5)	(80.0, 70.0)	(81.0, 71.5)	(82.0, 63.5)	(83.0, 47.0)	(84.0, 42.0)	(85.0, 41.5)	(86.0, 36.5)	(87.0, 34.0)	(88.0, 34.0)	(89.0, 34.0)	(90.0, 34.5)	(91.0, 32.0)	(92.0, 25.5)	(93.0, 26.5)	(94.0, 25.5)	(95.0, 21.5)	(96.0, 26.5)	(97.0, 29.5)	(98.0, 35.5)	(99.0, 42.0)	(100.0, 79.0)
ERR1797972_1	(0.0, 22.0)	(1.0, 15.0)	(2.0, 6.5)	(3.0, 3.5)	(4.0, 3.0)	(5.0, 4.5)	(6.0, 3.0)	(7.0, 1.5)	(8.0, 3.0)	(9.0, 4.0)	(10.0, 4.5)	(11.0, 5.5)	(12.0, 8.0)	(13.0, 10.5)	(14.0, 16.0)	(15.0, 25.0)	(16.0, 52.0)	(17.0, 155.5)	(18.0, 320.0)	(19.0, 724.0)	(20.0, 1233.5)	(21.0, 1769.5)	(22.0, 2656.5)	(23.0, 5228.5)	(24.0, 10190.0)	(25.0, 14969.0)	(26.0, 19489.5)	(27.0, 34770.0)	(28.0, 53256.0)	(29.0, 70844.5)	(30.0, 95102.0)	(31.0, 129162.0)	(32.0, 184039.0)	(33.0, 281439.0)	(34.0, 387748.5)	(35.0, 511110.0)	(36.0, 626030.5)	(37.0, 786026.5)	(38.0, 1059211.5)	(39.0, 1326149.0)	(40.0, 1562161.0)	(41.0, 1770049.5)	(42.0, 1934839.0)	(43.0, 2073008.5)	(44.0, 2145976.0)	(45.0, 2121115.5)	(46.0, 1973727.0)	(47.0, 1747638.5)	(48.0, 1514772.0)	(49.0, 1298817.0)	(50.0, 997000.5)	(51.0, 752598.5)	(52.0, 607315.5)	(53.0, 399508.0)	(54.0, 232764.0)	(55.0, 128244.0)	(56.0, 77862.0)	(57.0, 57520.5)	(58.0, 38091.0)	(59.0, 21206.0)	(60.0, 11804.0)	(61.0, 5228.5)	(62.0, 2992.5)	(63.0, 1752.5)	(64.0, 582.0)	(65.0, 240.5)	(66.0, 118.0)	(67.0, 60.0)	(68.0, 30.0)	(69.0, 19.5)	(70.0, 8.0)	(71.0, 6.0)	(72.0, 6.5)	(73.0, 5.0)	(74.0, 3.0)	(75.0, 2.0)	(76.0, 1.0)	(77.0, 0.5)	(78.0, 1.0)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 1.0)	(85.0, 0.5)	(86.0, 0.5)	(87.0, 1.0)	(88.0, 1.0)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.0)
ERR1797972_2	(0.0, 15.0)	(1.0, 14.0)	(2.0, 14.5)	(3.0, 18.0)	(4.0, 20.5)	(5.0, 26.5)	(6.0, 35.5)	(7.0, 42.0)	(8.0, 55.5)	(9.0, 68.0)	(10.0, 71.5)	(11.0, 94.0)	(12.0, 114.0)	(13.0, 143.5)	(14.0, 166.0)	(15.0, 202.5)	(16.0, 311.0)	(17.0, 564.5)	(18.0, 866.5)	(19.0, 1300.0)	(20.0, 1888.0)	(21.0, 2670.0)	(22.0, 4721.5)	(23.0, 8598.5)	(24.0, 15674.0)	(25.0, 28872.0)	(26.0, 42199.5)	(27.0, 51911.5)	(28.0, 63839.5)	(29.0, 84413.5)	(30.0, 118611.0)	(31.0, 163747.0)	(32.0, 228616.0)	(33.0, 320418.0)	(34.0, 419508.5)	(35.0, 527127.0)	(36.0, 665110.5)	(37.0, 821166.5)	(38.0, 1025698.5)	(39.0, 1328143.5)	(40.0, 1636245.0)	(41.0, 1843852.5)	(42.0, 1946873.5)	(43.0, 2019303.0)	(44.0, 2047446.0)	(45.0, 1955750.0)	(46.0, 1771670.5)	(47.0, 1565526.5)	(48.0, 1405757.5)	(49.0, 1249178.0)	(50.0, 1036490.5)	(51.0, 825579.5)	(52.0, 641729.5)	(53.0, 443526.5)	(54.0, 270139.5)	(55.0, 163179.5)	(56.0, 98875.0)	(57.0, 68070.5)	(58.0, 56697.5)	(59.0, 47973.5)	(60.0, 31517.5)	(61.0, 13273.5)	(62.0, 5529.5)	(63.0, 2484.5)	(64.0, 1193.5)	(65.0, 761.5)	(66.0, 538.5)	(67.0, 401.5)	(68.0, 285.0)	(69.0, 215.5)	(70.0, 176.0)	(71.0, 149.5)	(72.0, 126.0)	(73.0, 101.5)	(74.0, 91.5)	(75.0, 90.0)	(76.0, 79.0)	(77.0, 61.5)	(78.0, 58.0)	(79.0, 54.5)	(80.0, 46.0)	(81.0, 46.0)	(82.0, 46.5)	(83.0, 38.5)	(84.0, 33.0)	(85.0, 33.5)	(86.0, 28.5)	(87.0, 23.0)	(88.0, 30.5)	(89.0, 28.0)	(90.0, 18.5)	(91.0, 20.0)	(92.0, 26.5)	(93.0, 23.0)	(94.0, 21.0)	(95.0, 27.0)	(96.0, 26.5)	(97.0, 30.5)	(98.0, 37.0)	(99.0, 41.5)	(100.0, 79.5)
ERR1797973_1	(0.0, 17.0)	(1.0, 14.5)	(2.0, 9.0)	(3.0, 3.5)	(4.0, 1.5)	(5.0, 2.5)	(6.0, 3.5)	(7.0, 2.5)	(8.0, 1.5)	(9.0, 3.0)	(10.0, 2.5)	(11.0, 6.0)	(12.0, 8.5)	(13.0, 10.5)	(14.0, 15.0)	(15.0, 22.5)	(16.0, 52.5)	(17.0, 181.0)	(18.0, 334.5)	(19.0, 687.5)	(20.0, 1215.0)	(21.0, 1807.5)	(22.0, 2726.0)	(23.0, 5203.5)	(24.0, 10156.0)	(25.0, 15130.5)	(26.0, 20207.5)	(27.0, 38000.0)	(28.0, 56843.0)	(29.0, 75156.0)	(30.0, 101054.0)	(31.0, 134388.5)	(32.0, 189607.0)	(33.0, 295556.5)	(34.0, 403098.0)	(35.0, 519532.0)	(36.0, 629548.0)	(37.0, 786594.5)	(38.0, 1046246.5)	(39.0, 1274574.0)	(40.0, 1464582.5)	(41.0, 1627441.0)	(42.0, 1758767.0)	(43.0, 1842753.5)	(44.0, 1843931.5)	(45.0, 1778492.0)	(46.0, 1636107.0)	(47.0, 1439810.0)	(48.0, 1238594.5)	(49.0, 1067489.5)	(50.0, 806855.0)	(51.0, 578363.5)	(52.0, 472608.0)	(53.0, 329833.5)	(54.0, 194269.0)	(55.0, 101266.5)	(56.0, 59455.0)	(57.0, 42171.0)	(58.0, 28197.5)	(59.0, 16317.0)	(60.0, 9178.5)	(61.0, 4241.0)	(62.0, 2415.5)	(63.0, 1374.0)	(64.0, 450.0)	(65.0, 170.5)	(66.0, 77.0)	(67.0, 40.5)	(68.0, 22.0)	(69.0, 13.5)	(70.0, 9.0)	(71.0, 5.0)	(72.0, 4.5)	(73.0, 4.0)	(74.0, 1.5)	(75.0, 1.0)	(76.0, 0.5)	(77.0, 1.5)	(78.0, 1.5)	(79.0, 1.0)	(80.0, 1.5)	(81.0, 1.0)	(82.0, 1.0)	(83.0, 1.0)	(84.0, 1.0)	(85.0, 1.5)	(86.0, 1.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 0.5)
ERR1797973_2	(0.0, 16.0)	(1.0, 13.0)	(2.0, 12.5)	(3.0, 21.0)	(4.0, 23.0)	(5.0, 28.5)	(6.0, 40.0)	(7.0, 43.0)	(8.0, 46.0)	(9.0, 59.0)	(10.0, 81.0)	(11.0, 100.5)	(12.0, 99.5)	(13.0, 123.0)	(14.0, 158.0)	(15.0, 190.5)	(16.0, 307.5)	(17.0, 565.5)	(18.0, 875.5)	(19.0, 1300.0)	(20.0, 1958.5)	(21.0, 2739.0)	(22.0, 4640.5)	(23.0, 8608.5)	(24.0, 16423.5)	(25.0, 30741.5)	(26.0, 44482.0)	(27.0, 53979.5)	(28.0, 65760.0)	(29.0, 85869.5)	(30.0, 118913.5)	(31.0, 163018.5)	(32.0, 228589.5)	(33.0, 323781.0)	(34.0, 426206.5)	(35.0, 535098.5)	(36.0, 670100.0)	(37.0, 814740.0)	(38.0, 1000877.5)	(39.0, 1286182.0)	(40.0, 1571544.5)	(41.0, 1734684.5)	(42.0, 1778998.0)	(43.0, 1801311.0)	(44.0, 1790746.0)	(45.0, 1674727.0)	(46.0, 1479894.5)	(47.0, 1273442.5)	(48.0, 1123234.0)	(49.0, 985139.5)	(50.0, 807534.0)	(51.0, 635581.0)	(52.0, 491475.0)	(53.0, 339715.0)	(54.0, 206352.5)	(55.0, 124348.5)	(56.0, 76053.0)	(57.0, 53891.5)	(58.0, 43809.0)	(59.0, 34091.5)	(60.0, 21338.5)	(61.0, 9133.5)	(62.0, 3825.5)	(63.0, 1665.0)	(64.0, 915.0)	(65.0, 614.5)	(66.0, 386.0)	(67.0, 289.0)	(68.0, 227.5)	(69.0, 180.0)	(70.0, 138.5)	(71.0, 107.5)	(72.0, 87.5)	(73.0, 81.0)	(74.0, 84.5)	(75.0, 67.0)	(76.0, 53.5)	(77.0, 51.5)	(78.0, 43.0)	(79.0, 38.5)	(80.0, 39.0)	(81.0, 38.5)	(82.0, 35.0)	(83.0, 30.5)	(84.0, 25.5)	(85.0, 22.0)	(86.0, 23.0)	(87.0, 21.0)	(88.0, 20.0)	(89.0, 20.5)	(90.0, 19.5)	(91.0, 20.0)	(92.0, 19.0)	(93.0, 21.5)	(94.0, 21.0)	(95.0, 19.5)	(96.0, 20.5)	(97.0, 23.0)	(98.0, 29.5)	(99.0, 43.5)	(100.0, 75.5)
