Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR1797969_1	(2.0, 1721.0)	(3.0, 274.0)	(4.0, 248.0)	(5.0, 323.0)	(6.0, 496.0)	(7.0, 925.0)	(8.0, 2060.0)	(9.0, 3258.0)	(10.0, 4512.0)	(11.0, 6194.0)	(12.0, 8271.0)	(13.0, 10544.0)	(14.0, 12958.0)	(15.0, 15079.0)	(16.0, 16768.0)	(17.0, 18874.0)	(18.0, 21740.0)	(19.0, 25175.0)	(20.0, 29316.0)	(21.0, 35609.0)	(22.0, 41145.0)	(23.0, 54609.0)	(24.0, 74497.0)	(25.0, 92167.0)	(26.0, 126091.0)	(27.0, 175135.0)	(28.0, 241217.0)	(29.0, 327128.0)	(30.0, 436766.0)	(31.0, 543489.0)	(32.0, 697417.0)	(33.0, 926043.0)	(34.0, 1281083.0)	(35.0, 1907995.0)	(36.0, 3812447.0)	(37.0, 7549739.0)	(38.0, 6910932.0)	(39.0, 524927.0)	(40.0, 196.0)
ERR1797969_2	(2.0, 211417.0)	(3.0, 32865.0)	(4.0, 29040.0)	(5.0, 20837.0)	(6.0, 18075.0)	(7.0, 19027.0)	(8.0, 21414.0)	(9.0, 24321.0)	(10.0, 26972.0)	(11.0, 30144.0)	(12.0, 33243.0)	(13.0, 36202.0)	(14.0, 39840.0)	(15.0, 41351.0)	(16.0, 42692.0)	(17.0, 42573.0)	(18.0, 42031.0)	(19.0, 42955.0)	(20.0, 46194.0)	(21.0, 50500.0)	(22.0, 57917.0)	(23.0, 70697.0)	(24.0, 90000.0)	(25.0, 120067.0)	(26.0, 157667.0)	(27.0, 205893.0)	(28.0, 253231.0)	(29.0, 303075.0)	(30.0, 383876.0)	(31.0, 495506.0)	(32.0, 651120.0)	(33.0, 874912.0)	(34.0, 1213177.0)	(35.0, 1772507.0)	(36.0, 3258384.0)	(37.0, 7495809.0)	(38.0, 6506675.0)	(39.0, 1173401.0)	(40.0, 1761.0)
ERR1797970_1	(2.0, 1838.0)	(3.0, 247.0)	(4.0, 275.0)	(5.0, 359.0)	(6.0, 533.0)	(7.0, 1030.0)	(8.0, 2041.0)	(9.0, 3372.0)	(10.0, 4576.0)	(11.0, 6188.0)	(12.0, 7915.0)	(13.0, 10240.0)	(14.0, 12491.0)	(15.0, 14450.0)	(16.0, 16117.0)	(17.0, 18060.0)	(18.0, 21122.0)	(19.0, 24830.0)	(20.0, 28945.0)	(21.0, 34507.0)	(22.0, 41641.0)	(23.0, 53912.0)	(24.0, 73926.0)	(25.0, 91887.0)	(26.0, 125865.0)	(27.0, 174393.0)	(28.0, 241105.0)	(29.0, 326066.0)	(30.0, 436954.0)	(31.0, 544598.0)	(32.0, 685258.0)	(33.0, 908319.0)	(34.0, 1253171.0)	(35.0, 1845763.0)	(36.0, 3535964.0)	(37.0, 7834077.0)	(38.0, 7648001.0)	(39.0, 604112.0)	(40.0, 232.0)
ERR1797970_2	(2.0, 219761.0)	(3.0, 34981.0)	(4.0, 30300.0)	(5.0, 21492.0)	(6.0, 18932.0)	(7.0, 19867.0)	(8.0, 21887.0)	(9.0, 24722.0)	(10.0, 27363.0)	(11.0, 30559.0)	(12.0, 34248.0)	(13.0, 36844.0)	(14.0, 40162.0)	(15.0, 42413.0)	(16.0, 43843.0)	(17.0, 43386.0)	(18.0, 42798.0)	(19.0, 44346.0)	(20.0, 47669.0)	(21.0, 52187.0)	(22.0, 60752.0)	(23.0, 74685.0)	(24.0, 96518.0)	(25.0, 128607.0)	(26.0, 169622.0)	(27.0, 218618.0)	(28.0, 264832.0)	(29.0, 311670.0)	(30.0, 389383.0)	(31.0, 502987.0)	(32.0, 657730.0)	(33.0, 879502.0)	(34.0, 1214019.0)	(35.0, 1767828.0)	(36.0, 3215409.0)	(37.0, 7525067.0)	(38.0, 6963184.0)	(39.0, 1313891.0)	(40.0, 2316.0)
ERR1797971_1	(2.0, 1705.0)	(3.0, 233.0)	(4.0, 261.0)	(5.0, 352.0)	(6.0, 570.0)	(7.0, 1006.0)	(8.0, 2210.0)	(9.0, 3466.0)	(10.0, 4827.0)	(11.0, 6541.0)	(12.0, 8652.0)	(13.0, 11038.0)	(14.0, 13966.0)	(15.0, 15487.0)	(16.0, 17601.0)	(17.0, 19921.0)	(18.0, 23189.0)	(19.0, 26820.0)	(20.0, 32194.0)	(21.0, 38510.0)	(22.0, 46578.0)	(23.0, 61034.0)	(24.0, 82962.0)	(25.0, 102746.0)	(26.0, 140817.0)	(27.0, 194406.0)	(28.0, 267998.0)	(29.0, 362070.0)	(30.0, 482846.0)	(31.0, 591764.0)	(32.0, 733251.0)	(33.0, 964772.0)	(34.0, 1327259.0)	(35.0, 1955860.0)	(36.0, 3769572.0)	(37.0, 8184641.0)	(38.0, 7550014.0)	(39.0, 562294.0)	(40.0, 182.0)
ERR1797971_2	(2.0, 240492.0)	(3.0, 37885.0)	(4.0, 32452.0)	(5.0, 23703.0)	(6.0, 20677.0)	(7.0, 21850.0)	(8.0, 25142.0)	(9.0, 28656.0)	(10.0, 31636.0)	(11.0, 35208.0)	(12.0, 39596.0)	(13.0, 43094.0)	(14.0, 46758.0)	(15.0, 48383.0)	(16.0, 50353.0)	(17.0, 49965.0)	(18.0, 49715.0)	(19.0, 52272.0)	(20.0, 56012.0)	(21.0, 62125.0)	(22.0, 71944.0)	(23.0, 89260.0)	(24.0, 114864.0)	(25.0, 152322.0)	(26.0, 199387.0)	(27.0, 256993.0)	(28.0, 303001.0)	(29.0, 349084.0)	(30.0, 432882.0)	(31.0, 553842.0)	(32.0, 719476.0)	(33.0, 955821.0)	(34.0, 1311397.0)	(35.0, 1900257.0)	(36.0, 3478477.0)	(37.0, 7822777.0)	(38.0, 6710605.0)	(39.0, 1189462.0)	(40.0, 1790.0)
ERR1797972_1	(2.0, 2008.0)	(3.0, 282.0)	(4.0, 307.0)	(5.0, 354.0)	(6.0, 620.0)	(7.0, 1084.0)	(8.0, 2211.0)	(9.0, 3577.0)	(10.0, 5032.0)	(11.0, 6762.0)	(12.0, 8641.0)	(13.0, 10736.0)	(14.0, 12933.0)	(15.0, 14406.0)	(16.0, 16456.0)	(17.0, 18844.0)	(18.0, 21733.0)	(19.0, 25409.0)	(20.0, 30068.0)	(21.0, 35628.0)	(22.0, 42636.0)	(23.0, 52471.0)	(24.0, 68541.0)	(25.0, 91500.0)	(26.0, 124334.0)	(27.0, 171849.0)	(28.0, 237600.0)	(29.0, 322628.0)	(30.0, 431180.0)	(31.0, 544107.0)	(32.0, 686954.0)	(33.0, 903984.0)	(34.0, 1247514.0)	(35.0, 1842940.0)	(36.0, 3375477.0)	(37.0, 7879029.0)	(38.0, 8155416.0)	(39.0, 683414.0)	(40.0, 219.0)
ERR1797972_2	(2.0, 219948.0)	(3.0, 35322.0)	(4.0, 28410.0)	(5.0, 21260.0)	(6.0, 19209.0)	(7.0, 19149.0)	(8.0, 20585.0)	(9.0, 23455.0)	(10.0, 26258.0)	(11.0, 29792.0)	(12.0, 33432.0)	(13.0, 37738.0)	(14.0, 42212.0)	(15.0, 46674.0)	(16.0, 49810.0)	(17.0, 51520.0)	(18.0, 52684.0)	(19.0, 54860.0)	(20.0, 58417.0)	(21.0, 62822.0)	(22.0, 70193.0)	(23.0, 82484.0)	(24.0, 103243.0)	(25.0, 134503.0)	(26.0, 172474.0)	(27.0, 221990.0)	(28.0, 270707.0)	(29.0, 323629.0)	(30.0, 405485.0)	(31.0, 516883.0)	(32.0, 672314.0)	(33.0, 892005.0)	(34.0, 1218333.0)	(35.0, 1735654.0)	(36.0, 2942852.0)	(37.0, 6690494.0)	(38.0, 8311883.0)	(39.0, 1378965.0)	(40.0, 1236.0)
ERR1797973_1	(2.0, 1903.0)	(3.0, 262.0)	(4.0, 257.0)	(5.0, 344.0)	(6.0, 501.0)	(7.0, 895.0)	(8.0, 1940.0)	(9.0, 2865.0)	(10.0, 4214.0)	(11.0, 5535.0)	(12.0, 7126.0)	(13.0, 8839.0)	(14.0, 10407.0)	(15.0, 12036.0)	(16.0, 13586.0)	(17.0, 15478.0)	(18.0, 17685.0)	(19.0, 20871.0)	(20.0, 24296.0)	(21.0, 28294.0)	(22.0, 34078.0)	(23.0, 41742.0)	(24.0, 54393.0)	(25.0, 73770.0)	(26.0, 101140.0)	(27.0, 141429.0)	(28.0, 195418.0)	(29.0, 266309.0)	(30.0, 357833.0)	(31.0, 457580.0)	(32.0, 580089.0)	(33.0, 768369.0)	(34.0, 1059174.0)	(35.0, 1562064.0)	(36.0, 2873221.0)	(37.0, 6891165.0)	(38.0, 7619552.0)	(39.0, 698411.0)	(40.0, 269.0)
ERR1797973_2	(2.0, 183425.0)	(3.0, 29660.0)	(4.0, 23767.0)	(5.0, 17622.0)	(6.0, 16181.0)	(7.0, 15868.0)	(8.0, 17078.0)	(9.0, 19269.0)	(10.0, 21521.0)	(11.0, 23847.0)	(12.0, 27104.0)	(13.0, 30669.0)	(14.0, 34483.0)	(15.0, 37999.0)	(16.0, 40720.0)	(17.0, 41666.0)	(18.0, 42803.0)	(19.0, 44361.0)	(20.0, 46197.0)	(21.0, 49529.0)	(22.0, 55774.0)	(23.0, 65383.0)	(24.0, 81651.0)	(25.0, 105613.0)	(26.0, 137522.0)	(27.0, 177337.0)	(28.0, 216408.0)	(29.0, 261967.0)	(30.0, 330061.0)	(31.0, 426660.0)	(32.0, 555864.0)	(33.0, 743876.0)	(34.0, 1024436.0)	(35.0, 1481409.0)	(36.0, 2534449.0)	(37.0, 5940849.0)	(38.0, 7715798.0)	(39.0, 1333280.0)	(40.0, 1234.0)
