Sample	Unique Reads	Duplicate Reads
ERR1797969_1	4495525.0	21441843.0
ERR1797969_2	4979033.0	20958335.0
ERR1797970_1	4540086.0	22094294.0
ERR1797970_2	5137095.0	21497285.0
ERR1797971_1	4698697.0	22910918.0
ERR1797971_2	5263476.0	22346139.0
ERR1797972_1	5252941.0	21825943.0
ERR1797972_2	6033153.0	21045731.0
ERR1797973_1	4640998.0	19312342.0
ERR1797973_2	5297478.0	18655862.0
ERR1797974_1	4940054.0	18300123.0
ERR1797974_2	5662407.0	17577770.0
trim_paired_ERR1797969_pass_1	2346532.0	10724031.0
trim_paired_ERR1797969_pass_2	2694948.0	10375615.0
trim_paired_ERR1797970_pass_1	2560354.0	12132395.0
trim_paired_ERR1797970_pass_2	2953771.0	11738978.0
trim_paired_ERR1797971_pass_1	2474485.0	11564175.0
trim_paired_ERR1797971_pass_2	2825883.0	11212777.0
trim_paired_ERR1797972_pass_1	2562900.0	11193976.0
trim_paired_ERR1797972_pass_2	3055288.0	10701588.0
trim_paired_ERR1797973_pass_1	2516524.0	11181130.0
trim_paired_ERR1797973_pass_2	2965212.0	10732442.0
trim_paired_ERR1797974_pass_1	2514398.0	9899573.0
trim_paired_ERR1797974_pass_2	3004568.0	9409403.0
