Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1797969_1	(1.0, 12.457750121717147)	(2.0, 3.622097468623875)	(3.0, 2.3777841084145503)	(4.0, 1.7863736018380723)	(5.0, 1.4655544804509775)	(6.0, 1.2529678119071022)	(7.0, 1.106947695593221)	(8.0, 1.010028330515904)	(9.0, 0.9295473393328961)	('>10', 15.073006667384083)	('>50', 6.715062632781395)	('>100', 14.09615763887581)	('>500', 4.940629511173466)	('>1k', 8.919933714703804)	('>5k', 2.7369103114878492)	('>10k+', 21.509248565199883)
ERR1797969_2	(1.0, 13.826999044622484)	(2.0, 4.172656818165618)	(3.0, 2.611327680725671)	(4.0, 2.02121589133165)	(5.0, 1.6643080138805337)	(6.0, 1.3360757588544103)	(7.0, 1.21210719293245)	(8.0, 1.0786914671458128)	(9.0, 0.9431857060356317)	('>10', 15.281547012107325)	('>50', 6.309480008269391)	('>100', 12.763855488568446)	('>500', 3.8852589215858955)	('>1k', 6.111365778304194)	('>5k', 2.0496367380553093)	('>10k+', 24.732288479415125)
ERR1797970_1	(1.0, 12.214162037905131)	(2.0, 3.645988613498257)	(3.0, 2.2813859865605397)	(4.0, 1.777897112715866)	(5.0, 1.4774628279071484)	(6.0, 1.2163588408111927)	(7.0, 1.0727758764956923)	(8.0, 0.9710290448838227)	(9.0, 0.8911613198845055)	('>10', 15.004964656400816)	('>50', 6.657400553639035)	('>100', 14.442236907981492)	('>500', 5.252499268997659)	('>1k', 9.120964735657742)	('>5k', 2.744028811957439)	('>10k+', 21.229683404703557)
ERR1797970_2	(1.0, 13.90853604561005)	(2.0, 4.138538991188242)	(3.0, 2.623958937310053)	(4.0, 2.012990690275626)	(5.0, 1.6203497712765171)	(6.0, 1.363249545353507)	(7.0, 1.2268131731447478)	(8.0, 1.1034210974107295)	(9.0, 0.9856181162731646)	('>10', 15.62733922164378)	('>50', 6.451569255152889)	('>100', 13.175705924862507)	('>500', 3.959255404542579)	('>1k', 6.390787303130783)	('>5k', 1.9031332152857339)	('>10k+', 23.508733307538844)
ERR1797971_1	(1.0, 12.27975203760821)	(2.0, 3.6552330680245446)	(3.0, 2.23681873576391)	(4.0, 1.74703269770754)	(5.0, 1.410865033790984)	(6.0, 1.2480417654116471)	(7.0, 1.060024246524184)	(8.0, 0.9382380475089522)	(9.0, 0.8398021770787316)	('>10', 14.13043732542129)	('>50', 6.364170401227819)	('>100', 13.944191477784798)	('>500', 5.23971734639814)	('>1k', 9.329912746587771)	('>5k', 3.3026006214203742)	('>10k+', 22.273162271741246)
ERR1797971_2	(1.0, 13.818408823711655)	(2.0, 4.117579947792374)	(3.0, 2.5752772045961168)	(4.0, 1.9512250937707383)	(5.0, 1.5366151248539432)	(6.0, 1.3054982075833692)	(7.0, 1.224247109351961)	(8.0, 1.0402262027590257)	(9.0, 0.9161675995081433)	('>10', 14.7084661341934)	('>50', 6.156746182487956)	('>100', 12.878063518152635)	('>500', 4.0969944284018265)	('>1k', 6.564552470478096)	('>5k', 2.3150257722679193)	('>10k+', 24.79490618009084)
ERR1797972_1	(1.0, 13.91405939127405)	(2.0, 4.160861643703504)	(3.0, 2.5532901850271568)	(4.0, 1.9831128670995752)	(5.0, 1.6198274616341217)	(6.0, 1.399973214776569)	(7.0, 1.2181090312042802)	(8.0, 1.1388995462000737)	(9.0, 0.9953657059203034)	('>10', 17.166999746596534)	('>50', 7.835983355324383)	('>100', 18.070696333866007)	('>500', 6.940782215020767)	('>1k', 12.042284462497465)	('>5k', 3.4744618730713626)	('>10k+', 5.485292966783922)
ERR1797972_2	(1.0, 15.935102426624537)	(2.0, 4.898346248553048)	(3.0, 3.0548498819095613)	(4.0, 2.3619811199782967)	(5.0, 1.9231869905608112)	(6.0, 1.5912878176868583)	(7.0, 1.390760031136859)	(8.0, 1.2716946340267998)	(9.0, 1.115294421558847)	('>10', 18.59992449492586)	('>50', 8.02187321377447)	('>100', 17.29679285927081)	('>500', 5.935076708764877)	('>1k', 10.255596711128195)	('>5k', 2.7064373526269265)	('>10k+', 3.6417950874734344)
ERR1797973_1	(1.0, 13.895194589226701)	(2.0, 4.145550754951304)	(3.0, 2.571066682999697)	(4.0, 1.981965171300281)	(5.0, 1.6333292378085194)	(6.0, 1.3814536371005592)	(7.0, 1.2337026011940095)	(8.0, 1.0906991822780543)	(9.0, 1.0359375712093846)	('>10', 17.122893569296725)	('>50', 7.752011424071902)	('>100', 17.784620300496503)	('>500', 6.832410476808888)	('>1k', 12.115840270870413)	('>5k', 3.7381373962732027)	('>10k+', 5.685187134113794)
ERR1797973_2	(1.0, 15.741879990557583)	(2.0, 4.831324483625657)	(3.0, 3.07104701163188)	(4.0, 2.387970299357813)	(5.0, 1.9155947909856765)	(6.0, 1.6995241878679408)	(7.0, 1.4545738908459138)	(8.0, 1.2690627801044287)	(9.0, 1.21958353173)	('>10', 18.897362540639065)	('>50', 8.040705227300245)	('>100', 17.151126267211637)	('>500', 5.950770989348567)	('>1k', 10.322869740626482)	('>5k', 2.5465319288668535)	('>10k+', 3.5000723393000595)
