Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
ERR1797969_1	(100, 25937368.0)																									
ERR1797969_2	(100, 25937368.0)																									
ERR1797970_1	(100, 26634380.0)																									
ERR1797970_2	(100, 26634380.0)																									
ERR1797971_1	(100, 27609615.0)																									
ERR1797971_2	(100, 27609615.0)																									
ERR1797972_1	(100, 27078884.0)																									
ERR1797972_2	(100, 27078884.0)																									
ERR1797973_1	(100, 23953340.0)																									
ERR1797973_2	(100, 23953340.0)																									
ERR1797974_1	(100, 23240177.0)																									
ERR1797974_2	(100, 23240177.0)																									
trim_paired_ERR1797969_pass_1	(50, 7376.0)	(52, 7529.0)	(54, 7765.0)	(56, 8714.0)	(58, 7972.0)	(60, 10705.0)	(62, 9013.0)	(64, 11139.0)	(66, 11162.0)	(68, 9549.0)	(70, 9458.0)	(72, 9832.0)	(74, 11259.0)	(76, 12329.0)	(78, 13399.0)	(80, 13782.0)	(82, 13302.0)	(84, 13838.0)	(86, 15289.0)	(88, 17193.0)	(90, 21320.0)	(92, 25896.0)	(94, 33296.0)	(96, 45031.0)	(98, 151017.0)	(100, 12573398.0)
trim_paired_ERR1797969_pass_2	(50, 12415.0)	(52, 12220.0)	(54, 13005.0)	(56, 13810.0)	(58, 14835.0)	(60, 13339.0)	(62, 13754.0)	(64, 12795.0)	(66, 12607.0)	(68, 13656.0)	(70, 13759.0)	(72, 13720.0)	(74, 14311.0)	(76, 14064.0)	(78, 13987.0)	(80, 13757.0)	(82, 13763.0)	(84, 15076.0)	(86, 16045.0)	(88, 17512.0)	(90, 19849.0)	(92, 26898.0)	(94, 36665.0)	(96, 59407.0)	(98, 203759.0)	(100, 12445555.0)
trim_paired_ERR1797970_pass_1	(50, 7997.0)	(52, 8246.0)	(54, 8256.0)	(56, 9136.0)	(58, 8541.0)	(60, 11663.0)	(62, 9852.0)	(64, 11926.0)	(66, 12317.0)	(68, 10211.0)	(70, 10197.0)	(72, 10809.0)	(74, 12232.0)	(76, 13032.0)	(78, 14610.0)	(80, 14653.0)	(82, 14079.0)	(84, 14471.0)	(86, 16141.0)	(88, 18193.0)	(90, 22196.0)	(92, 26716.0)	(94, 34831.0)	(96, 46385.0)	(98, 160326.0)	(100, 14165733.0)
