Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR1797969_1	ERR1797969_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25937368.0	2.5 Gbp	0.0	100.0	45.0	17.332230347172707	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797969_2	ERR1797969_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25937368.0	2.5 Gbp	0.0	100.0	44.0	19.196369177897367	100.0	100	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797970_1	ERR1797970_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26634380.0	2.6 Gbp	0.0	100.0	44.0	17.04595717181949	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797970_2	ERR1797970_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26634380.0	2.6 Gbp	0.0	100.0	44.0	19.287456871784876	100.0	100	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797971_1	ERR1797971_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27609615.0	2.7 Gbp	0.0	100.0	45.0	17.018332256919543	100.0	100	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797971_2	ERR1797971_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27609615.0	2.7 Gbp	0.0	100.0	44.0	19.063921904480296	100.0	100	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797972_1	ERR1797972_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27078884.0	2.7 Gbp	0.0	100.0	43.0	19.398657676757843	100.0	100	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
ERR1797972_2	ERR1797972_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27078884.0	2.7 Gbp	0.0	100.0	42.0	22.279915068051608	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
ERR1797973_1	ERR1797973_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23953340.0	2.3 Gbp	0.0	100.0	42.0	19.375159911229265	100.0	100	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
ERR1797973_2	ERR1797973_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23953340.0	2.3 Gbp	0.0	100.0	42.0	22.11581957983234	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
