Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR1797969_1	82.66776965282729	45.0	100.0	100	45.45454545454545	25.937368
ERR1797969_2	80.80363082210263	44.0	100.0	100	45.45454545454545	25.937368
ERR1797970_1	82.9540428281805	44.0	100.0	100	45.45454545454545	26.63438
ERR1797970_2	80.71254312821512	44.0	100.0	100	45.45454545454545	26.63438
ERR1797971_1	82.98166774308046	45.0	100.0	100	45.45454545454545	27.609614999999998
ERR1797971_2	80.9360780955197	44.0	100.0	100	45.45454545454545	27.609614999999998
ERR1797972_1	80.60134232324216	43.0	100.0	100	18.181818181818183	27.078884
ERR1797972_2	77.72008493194839	42.0	100.0	100	27.27272727272727	27.078884
ERR1797973_1	80.62484008877074	42.0	100.0	100	18.181818181818183	23.953339999999997
ERR1797973_2	77.88418042016767	42.0	100.0	100	27.27272727272727	23.953339999999997
ERR1797974_1	78.74347792427147	43.0	100.0	100	18.181818181818183	23.240177
ERR1797974_2	75.63526919257173	42.0	100.0	100	27.27272727272727	23.240177
trim_paired_ERR1797969_pass_1	82.04720627343897	43.0	99.93659749010047	100	18.181818181818183	13.070563
trim_paired_ERR1797969_pass_2	79.38154978645952	42.0	99.75705939369253	100	36.36363636363637	13.070563
trim_paired_ERR1797970_pass_1	82.57403250496026	42.0	99.96328233062445	100	18.181818181818183	14.692749
trim_paired_ERR1797970_pass_2	79.89640641955332	41.0	99.75467820895872	100	27.27272727272727	14.692749
trim_paired_ERR1797971_pass_1	82.37378306364306	43.0	99.94635185979288	100	18.181818181818183	14.03866
trim_paired_ERR1797971_pass_2	79.87071240337157	42.0	99.70904772962662	100	27.27272727272727	14.03866
trim_paired_ERR1797972_pass_1	81.37004793258649	41.0	99.95842195568238	100	9.090909090909092	13.756876
trim_paired_ERR1797972_pass_2	77.79083122501024	40.0	99.6790855714626	100	18.181818181818183	13.756876
trim_paired_ERR1797973_pass_1	81.62806814502063	41.0	99.98041584347217	100	9.090909090909092	13.697654
trim_paired_ERR1797973_pass_2	78.35241327057237	40.0	99.73618876633911	100	18.181818181818183	13.697654
trim_paired_ERR1797974_pass_1	79.74541823662467	41.0	99.96225748392678	100	9.090909090909092	12.413971
trim_paired_ERR1797974_pass_2	75.79688435385765	40.0	99.64190310256082	100	18.181818181818183	12.413971
