"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions","serum_depleted","bhi_depleted","log2FC_serum","category","gene.y","product","COG"
"FGLBJAKE_02786",164,0,0.666666666666667,1637.36929333537,0,6.58835310937325,TRUE,TRUE,FALSE,-10.6780448660697,"Depleted in Serum","rpoN1","RNA polymerase sigma-54 factor 1","COG1508"
"FGLBJAKE_02197",116.333333333333,0,88.3333333333333,1161.46724263017,0,872.956786991956,TRUE,TRUE,FALSE,-10.1829743474971,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02731",97.6666666666667,0,79,975.100005990375,0,780.71984346073,TRUE,TRUE,FALSE,-9.93088515595954,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00742",82.3333333333333,0,0,822.012633036255,0,0,TRUE,TRUE,FALSE,-9.68477076559645,"Depleted in Serum","ftsW_1","putative peptidoglycan glycosyltransferase FtsW","COG0772"
"FGLBJAKE_02258",76.6666666666667,0,18.6666666666667,765.436864770602,0,184.473887062451,TRUE,TRUE,FALSE,-9.58202314456313,"Depleted in Serum","licT_3","Transcription antiterminator LicT","COG3711"
"FGLBJAKE_00106",68.3333333333333,0,51,682.237205556406,0,504.009012867054,TRUE,TRUE,FALSE,-9.41624272856543,"Depleted in Serum","mfd","Transcription-repair-coupling factor",""
"FGLBJAKE_00622",67.3333333333333,0,0,672.253246450702,0,0,TRUE,TRUE,FALSE,-9.39500547124439,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02403",67.3333333333333,0,0,672.253246450702,0,0,TRUE,TRUE,FALSE,-9.39500547124439,"Depleted in Serum","manX_6","PTS system mannose-specific EIIAB component",""
"FGLBJAKE_01147",64,0,0,638.973382765024,0,0,TRUE,TRUE,FALSE,-9.32186809277572,"Depleted in Serum","mccF","Microcin C7 self-immunity protein MccF",""
"FGLBJAKE_02535",61.3333333333333,0,63,612.349491816482,0,622.599368835772,TRUE,TRUE,FALSE,-9.26056555803262,"Depleted in Serum","ghrB_2","Glyoxylate/hydroxypyruvate reductase B",""
"FGLBJAKE_00223",58.3333333333333,0,1.33333333333333,582.397614499371,0,13.1767062187465,TRUE,TRUE,FALSE,-9.18833567687306,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02395",55,0,0,549.117750813693,0,0,TRUE,TRUE,FALSE,-9.10359664538061,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02473",54,0,0,539.133791707989,0,0,TRUE,TRUE,FALSE,-9.07717299839518,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_01062",53.6666666666667,0,94.3333333333333,535.805805339421,0,932.251964976315,TRUE,TRUE,FALSE,-9.06825646356525,"Depleted in Serum","yhgF","Protein YhgF","COG2183"
"FGLBJAKE_01514",50.6666666666667,0,30.6666666666667,505.853928022311,0,303.064243031169,TRUE,TRUE,FALSE,-8.98542622165528,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02186",50.3333333333333,0,33.3333333333333,502.525941653743,0,329.417655468663,TRUE,TRUE,FALSE,-8.9759222975621,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_03100",49.3333333333333,0,7.33333333333333,492.541982548039,0,72.4718842031057,TRUE,TRUE,FALSE,-8.94702900077396,"Depleted in Serum","","IS1595 family transposase ISCco3",""
"FGLBJAKE_01122",46,0,0,459.262118862361,0,0,TRUE,TRUE,FALSE,-8.84631189851438,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_01658",43.6666666666667,0,0,435.966214282386,0,0,TRUE,TRUE,FALSE,-8.77137792631625,"Depleted in Serum","ykoD","Putative HMP/thiamine import ATP-binding protein YkoD","COG1122"
"FGLBJAKE_02095",42,0,27,419.326282439547,0,266.828300929617,TRUE,TRUE,FALSE,-8.71536585887395,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02157",41.6666666666667,0,56.6666666666667,415.998296070979,0,560.010014296726,TRUE,TRUE,FALSE,-8.70389767834881,"Depleted in Serum","queG","Epoxyqueuosine reductase","COG1600"
"FGLBJAKE_01182",40.6666666666667,0,1.66666666666667,406.014336965276,0,16.4708827734331,TRUE,TRUE,FALSE,-8.6689358036874,"Depleted in Serum","tsaD","tRNA N6-adenosine threonylcarbamoyltransferase","COG0533"
"FGLBJAKE_01676",40.6666666666667,0,0,406.014336965276,0,0,TRUE,TRUE,FALSE,-8.6689358036874,"Depleted in Serum","glxK","Glycerate kinase",""
"FGLBJAKE_00266",39.6666666666667,0,0,396.030377859572,0,0,TRUE,TRUE,FALSE,-8.63310558583488,"Depleted in Serum","trmL","tRNA (cytidine(34)-2'-O)-methyltransferase","COG0219"
"FGLBJAKE_01846",38,0,21,379.390446016733,0,207.533122945257,TRUE,TRUE,FALSE,-8.57133720133237,"Depleted in Serum","yueI","putative protein YueI","COG5506"
"FGLBJAKE_00864",35.6666666666667,0,0,356.094541436758,0,0,TRUE,TRUE,FALSE,-8.48016227076589,"Depleted in Serum","carB","Carbamoyl-phosphate synthase large chain","COG0458"
"FGLBJAKE_00954",34.6666666666667,0,19,346.110582331055,0,187.768063617138,TRUE,TRUE,FALSE,-8.43925153893382,"Depleted in Serum","rspR_1","HTH-type transcriptional repressor RspR","COG1802"
"FGLBJAKE_02715",34.3333333333333,0,27,342.782595962487,0,266.828300929617,TRUE,TRUE,FALSE,-8.42535269982,"Depleted in Serum","xerC_13","Tyrosine recombinase XerC",""
"FGLBJAKE_01531",34,0,13,339.454609593919,0,128.472885632778,TRUE,TRUE,FALSE,-8.41131865650295,"Depleted in Serum","crr","PTS system glucose-specific EIIA component",""
"FGLBJAKE_00162",31.6666666666667,0,58,316.158705013944,0,573.186720515473,TRUE,TRUE,FALSE,-8.30906112995307,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00176",30.6666666666667,0,0,306.174745908241,0,0,TRUE,TRUE,FALSE,-8.26291580085139,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02355",28.3333333333333,0,0,282.878841328266,0,0,TRUE,TRUE,FALSE,-8.14913151277732,"Depleted in Serum","rho","Transcription termination factor Rho","COG1158"
"FGLBJAKE_01286",27.3333333333333,0,6.33333333333333,272.894882222562,0,62.5893545390459,TRUE,TRUE,FALSE,-8.09747849904142,"Depleted in Serum","ltaS1_1","Lipoteichoic acid synthase 1","COG1368"
"FGLBJAKE_00567",26.6666666666667,0,0,266.238909485427,0,0,TRUE,TRUE,FALSE,-8.06198626657969,"Depleted in Serum","gatC_1","PTS system galactitol-specific EIIC component","COG3775"
"FGLBJAKE_00673",26.3333333333333,0,0.333333333333333,262.910923116859,0,3.29417655468662,TRUE,TRUE,FALSE,-8.04390725396826,"Depleted in Serum","ribX","Riboflavin transport system permease protein RibX",""
"FGLBJAKE_01845",26.3333333333333,0,6,262.910923116859,0,59.2951779843592,TRUE,TRUE,FALSE,-8.04390725396826,"Depleted in Serum","gshAB","Glutathione biosynthesis bifunctional protein GshAB","COG1181"
"FGLBJAKE_00722",26,0,0,259.582936748291,0,0,TRUE,TRUE,FALSE,-8.02559880754654,"Depleted in Serum","purH","Bifunctional purine biosynthesis protein PurH",""
"FGLBJAKE_02216",26,0,0,259.582936748291,0,0,TRUE,TRUE,FALSE,-8.02559880754654,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_02738",25.3333333333333,0,11.6666666666667,252.926964011155,0,115.296179414032,TRUE,TRUE,FALSE,-7.98826978987909,"Depleted in Serum","mleS","Malolactic enzyme","COG0281"
"FGLBJAKE_01231",25,0,52.3333333333333,249.598977642588,0,517.1857190858,TRUE,TRUE,FALSE,-7.96923671874823,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00841",24.3333333333333,0,0,242.943004905452,0,0,TRUE,TRUE,FALSE,-7.93040030418068,"Depleted in Serum","","Putative pyridoxal phosphate-dependent acyltransferase",""
"FGLBJAKE_01453",23.3333333333333,0,11,232.959045799748,0,108.707826304659,TRUE,TRUE,FALSE,-7.87011219995679,"Depleted in Serum","bglF_1","PTS system beta-glucoside-specific EIIBCA component","COG1263"
"FGLBJAKE_01060",22.6666666666667,0,25.6666666666667,226.303073062613,0,253.65159471087,TRUE,TRUE,FALSE,-7.82847337882367,"Depleted in Serum","ydcF","Protein YdcF","COG1434"
"FGLBJAKE_01885",22.6666666666667,0,0,226.303073062613,0,0,TRUE,TRUE,FALSE,-7.82847337882367,"Depleted in Serum","","hypothetical protein",""
"FGLBJAKE_00077",22,0,0,219.647100325477,0,0,TRUE,TRUE,FALSE,-7.78559697777051,"Depleted in Serum","purR_1","Pur operon repressor","COG0503"
"FGLBJAKE_01282",21.6666666666667,0,0,216.319113956909,0,0,TRUE,TRUE,FALSE,-7.76367125982142,"Depleted in Serum","baiN","3-dehydro-bile acid delta(4,6)-reductase","COG2081"
"FGLBJAKE_01930",21.6666666666667,0,0,216.319113956909,0,0,TRUE,TRUE,FALSE,-7.76367125982142,"Depleted in Serum","opuCD","Glycine betaine/carnitine/choline transport system permease protein OpuCD","COG1174"
"FGLBJAKE_02737",21.6666666666667,0,10,216.319113956909,0,98.8252966405987,TRUE,TRUE,FALSE,-7.76367125982142,"Depleted in Serum","citS","Citrate-sodium symporter","COG3493"
"FGLBJAKE_01066",20.6666666666667,0,0,206.335154851206,0,0,TRUE,TRUE,FALSE,-7.69582094408754,"Depleted in Serum","tcyP","L-cystine uptake protein TcyP","COG1823"
"FGLBJAKE_02784",20.6666666666667,0,0,206.335154851206,0,0,TRUE,TRUE,FALSE,-7.69582094408754,"Depleted in Serum","","hypothetical protein",""
