#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_2	1415035	153	N	N	1	*	9,2,9
contig_1	1362975	139	N	N	1	*	-9,1,-9
contig_11	202266	99	N	N	1	*	3,11,3
contig_3	38669	96	N	Y	1	*	3
contig_10	32424	166	Y	N	1	*	10
contig_7	27181	45	N	N	1	*	3,7,3
contig_12	19196	50	Y	N	1	*	12
contig_4	16003	43	N	N	1	*	*,4,*
contig_9	14445	229	N	Y	1	*	9
contig_8	10762	42	Y	N	1	*	8
contig_5	3642	48	N	Y	1	2	*,5,*
